Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.0183917114924685,0.00104419198616721,0,0.150144139614483,0.000850992139978551,0.415398473463441,0.592615224860571,0.413989349609879,9.62451902812155e-07,0.0323105940824164,0.00122377454555984,0,0,0.00544912737276795,0,0,0.0004877549680873,0.0152022009231433,1.33847898721161e-05,0.00259174740942056,0,0,0.00082751256948219,0,3.36219480727155e-20,5.35800919722728e-20,0,1.00660457447045,0.0063001195127465,0.00104419198616721,0.150144139614483
0.135757086639132,0.00427620952823019,0.00145693818478504,2.98292284283249e-06,0.16140578816056,0.137840778256244,0.31351065806848,0.671611418837646,0.90472703412153,3.79432763134796e-07,0.0141740496953145,0.00153946557260586,0.00818174744766072,0.0838026617509048,0.00676374106586212,0,0,0,0,0.000249032884338998,0,0,0,0,2.45576462768229e-17,2.3563803060327e-18,0,0.0919844091985655,1.57633845295918,0.144604519322106,0.00145693818478504,0.16140578816056
0,0,0.00176508785316825,0.00069144796903439,0.17113374434479,0.000455925191046675,0.0968815414933817,0.724691423051095,0.661587680703759,0,0.0833737151925872,0,0,0,0,0,0.0117619339519562,0.00535490708111624,0.112533929995883,1.26109198842155e-06,0,0,0,0,0,0,0,0,1.38627910375485,0.000455925191046675,0.00176508785316825,0.17113374434479
0,7.07923270217916e-05,0,0.000101410296087485,0.136579637796531,0.0051896106057335,0.285032488342183,0.366882268345233,0.722711790716315,5.18238680342495e-07,0.0159437533010989,0.0857765323476143,0.0260689621113111,0.0125328029740046,0.00563595926438532,0,0,0,0,0.00386085526078933,0.0154891434234086,0.00747862080867593,0.00786746061485423,0,0,0,0,0.0386017650853157,1.08959405906155,0.0108255698701188,0,0.136579637796531
0,1.08345587506557e-06,0,0.000751939792397395,0.140532505155768,0,0.234960832778119,0.657789072702677,0.838324393045984,6.44081529628134e-07,0.0166602607808629,0.0252696121850371,0,0.00728154596669603,0,0,0.0077041279185461,0.000631113435827415,0.0101388965032422,1.0213628563965e-06,0,0,0,0,0,2.07620614458389e-19,2.40564981346712e-18,0.00728154596669603,1.49611346574866,0,0,0.140532505155768
0,0.0568056708340619,0,0.00076764405556824,0.139468775356504,0.00263436569296793,0.392199226278531,0.610537420510742,0.94179306038943,1.34779145091319e-06,0,0.0109762454477993,0.0105095312818738,0.0905013423972551,0.00495326576665394,0.000234094517498247,0.0113669117978541,0,0,4.39903076125768e-05,0,0,0,0,0,6.82388118566591e-18,1.25093767810769e-18,0.101010873679129,1.55233048090017,0.00758763145962187,0.000234094517498247,0.139468775356504
0,0.00538743654789126,0,0.00042051191802492,0.149203029156781,0,0.427182297102505,0.633863889009528,0.812989303718933,2.20832740202533e-06,0.0166199771030908,0,0.0135243881854582,0.0628938423405862,0,0,0.00663764056404045,0.000103706924924948,0.00798502478075865,0.0348618435119183,0,0,0,0,0,4.12099356835945e-19,4.64489583835368e-19,0.0764182305260444,1.44685319272846,0,0,0.149203029156781
0,0.0268975622503705,0.00669939684381339,0,0.133536744664743,0,0.452878716496373,0.550323455425146,0.819977297191945,1.12357359033622e-06,0,0,0.0166385900613465,0.173778171524981,0,0,0.0190447916967397,0,0,0.0256700976848249,0,0,0,0,0,2.23699020905001e-17,0,0.190416761586327,1.37030075261709,0,0.00669939684381339,0.133536744664743
0,0.00532784217342407,0.000619913316322634,0.000490875570593873,0.129081009230155,0,0.27332264267925,0.612005725580334,0.80222583145434,2.61106085946513e-07,0.00389827171957187,0.049919086296162,0.00561447289654776,0.0122336111365092,0,0.000165769327593943,0.0114818298570383,0,0.00127654010489107,0.00128460025375488,0.0291204255158227,0,0,0,0,4.35284727545267e-18,0,0.0178480840330569,1.41423155703467,0,0.000785682643916577,0.129081009230155
0,0.0204889944054723,0.000925328055195732,0.00128236914174364,0.126703110330173,0,0.365093743388905,0.31554867710463,0.904981372126184,0.000177630596137815,0.0113235573344358,0.163704906696931,0.00721792524921287,0,0,0.00972198685703744,0.0323902305848085,0.000578956430759372,0.038956295974057,0.000533078349790373,0,0,0,0,0,0,0,0.00721792524921287,1.22053004923081,0,0.0106473149122332,0.126703110330173
0,0.0268548602329475,0.0192980779414568,0,0.144790630754302,0,0.214606887110626,0.660296815381735,0.849735232898369,7.70571899504503e-08,0.0254497429310854,0,0,0.0161642375273597,0,0,0.0176643277039445,0.000446331762344574,0.00188244601999429,1.20099177280562e-05,0,0,0,0,0,0,0,0.0161642375273597,1.5100320482801,0,0.0192980779414568,0.144790630754302
0,0.0803703933450347,0.0289811447150684,0,0.129812683995103,0,0.105034060559895,0.599895601825541,0.864302600234966,0,0.0061941928008764,0.0234017889134648,0.00803011740207716,0,0,0.00362083882882748,0,0,0,0.0246465628172716,0,0,0.016177236338963,0,7.36186432601349e-19,0,6.52025418510308e-18,0.00803011740207716,1.46419820206051,0,0.0326019835438959,0.129812683995103
0,0.0157067826732643,0,0,0.11564222767613,0,0.423939400246241,0.586414891263564,0.850819025948511,6.01343692573355e-07,0.0151744331416318,0.133853356395933,0.00695698834357279,0,0,0,0.00295304029779253,0.000679644252313067,0.0195673692521843,5.08080388789469e-05,0,0,0,0,0,3.3553428223246e-18,5.39391848095672e-18,0.00695698834357279,1.43723391721208,0,0,0.11564222767613
0,0.0163120154885146,0.001203512912634,0.000546765818693811,0.143487712520073,0,0.384874251023127,0.75235200476425,0.744063733681251,3.16573177921751e-09,0.0330152238747251,0.114658394990573,0.0419792820319489,0.036297681638807,0.0408264607280178,0,0.0168844813911319,0.00310712829402555,0.0876759528213711,0.000242741077233939,0,0,0,0,1.92781587107711e-18,2.1592947801638e-18,5.60314308713618e-19,0.0782769636707559,1.4964157384455,0.0408264607280178,0.001203512912634,0.143487712520073
0.0224255281854318,0.12392450248851,0.00408801042411561,0,0.133994363977203,0,0.378715017608573,0.782160120170497,0.462604416761159,0.000543266118738987,0.10225433451929,0.155864184724863,0,0,0,0,0,0.00328942228156331,0.024574087665042,7.05577816357094e-07,0,0,0,0,4.9465478071253e-19,0,0,0,1.24476453693166,0,0.00408801042411561,0.133994363977203
0,0.00103494749787167,0.00128129275462309,0,0.116752105858205,0,0.385926632858446,0.574568322413344,0.821042975903375,3.66130826459847e-08,0.0457116011097623,0.24571646693891,0.0261498492744638,0,0,0,0,1.24403490321663e-07,0,4.54708408271955e-05,0,0,0,0,0,3.64415242324629e-19,1.7307527215149e-18,0.0261498492744638,1.39561129831672,0,0.00128129275462309,0.116752105858205
0.0176160110976854,0.0855747362759431,0.00588520256062207,0,0.138817591721163,0,0.449783691085932,0.794538366761847,0.162925620550812,2.81104961477322e-11,0,0.0806073387600417,0.0069919435128945,0,0,0.00226616993124618,0.00182723077215835,0.00143026105224394,0.0551899272602251,5.68556479976548e-05,0,0,0,0,0,2.62738905120349e-19,1.13691003425805e-18,0.0069919435128945,0.957463987312659,0,0.00815137249186825,0.138817591721163
0.0203317638838929,0.00620643268375003,0.00691841382589294,0.00327559154662559,0.1297560780202,0,0,0.910240186110076,0.529486438014099,3.3653722403297e-07,0.0472296247426875,0.0136388007880267,0.0242578377174922,0.0148969722469736,0,0.00016163194972033,0.00678406981186492,0.000477265381169761,0.0338149787422176,0.0024402318237472,0,0,0,0.0215459318464166,0,2.64111061002421e-19,0,0.0391548099644658,1.43972662412418,0,0.00708004577561327,0.1297560780202
0.000449107905088646,0.107703512560622,0.0121841712870586,0,0.141450589785719,0.0132190700877271,0.360573610405428,0.718723729769135,0.495803104744982,0.00780663598240647,0.0956261575896152,0.475204691134863,0,0,0.00843654939658517,0.0107931185819095,0,0.00625577350290594,0.0338264997480226,0.000127336472381781,0,0,0,0,0,2.39378448725901e-19,3.9068585679479e-19,0,1.21452683451412,0.0216556194843123,0.0229772898689681,0.141450589785719
0.0047096629549103,0.0250652382025729,0.000603281634322942,0,0.130544913883349,0,0.118807246176417,0.614398415290149,0.646718885862371,0,0.0334971536401029,0,0,0.0971224089469482,0,0,0.0155598215964205,0.00689044599817851,0.0390806512149888,3.34385493901196e-06,0.00071956357279214,9.0025845478269e-06,0,0,0,0,6.84949276433448e-19,0.0971224089469482,1.26111730115252,0,0.000603281634322942,0.130544913883349
0,0.00882050122923831,0,0,0.115080936287276,0.0423820859604727,0.611997060206991,0.262106001054423,0.961405680924998,0.00392401395719169,0,0.0315358236787388,0.0337183239433956,0.00149785123240146,0.0429105149570409,0.000122065838165839,0.0380386315490318,0,0.0388042998249147,0.00127272900141001,0.00110564888426226,0,0.00034249567325757,0.00695821941759378,1.29699179710897e-18,0,1.01589336694489e-18,0.0352161751757971,1.22351168197942,0.0852926009175136,0.000122065838165839,0.115080936287276
0,0,0,0.00316681593316775,0.147726398833792,0.0441361577689761,0.682161729001641,0.110621903136654,1.20218565443395,0,0.0248115508424126,0.216371986362207,0.162697433384639,0.0207273363384847,0.056150370991925,0,0,0,0,0.00936346427037776,0.0110694056544684,0.000363678066122651,0.00179755796592192,3.7096094581182e-05,0,2.86922087480608e-18,0,0.183424769723124,1.31280755757061,0.100286528760901,0,0.147726398833792
0,0.00801744846605759,0,0,0.161236560333997,0.00947068293475255,0.129440255507933,0.652623576995278,0.959707002650093,1.34913115944092e-06,0.0198860514001695,0,0,0,0.00378074827540573,0,0,0.00127797934367182,0.0163648819706273,2.27330702159986e-05,0,0,0,0,9.81979893276722e-18,4.70415464036103e-18,1.40172878362189e-17,0,1.61233057964537,0.0132514312101583,0,0.161236560333997
0,0.0158993819972961,0.000960280334284803,0,0.127468890468817,0,0.417322901977461,0.564866255380421,0.888973353200316,9.70981170843337e-07,0.0307294626164497,0.0171299488691504,0.0267758796267046,0.012401796513112,0,0.000653995950909941,0.00360281276558766,0.00157288457933646,0.0173999846480602,0.0102712899187715,0,0,0,0,0,0,2.7366219190754e-18,0.0391776761398166,1.45383960858074,0,0.00161427628519474,0.127468890468817
