Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0,0.00118662214447186,0.00471390350810833,0.137054782680172,0.00162351643861935,0.255473272883837,0.66603673795952,0.852243587405072,0.0667797231609062,9.54038959788081e-07,0.0156775535010051,0.0163981959952195,0.00653243000426729,0.0801321418954855,0,0.00289558405763072,0.00861654708306509,1.0858533263664e-05,0.00479264521854785,0.0114797658568292,0.000613154026013703,0,0,0,0,0,0,0.172470232650446,0.0866645718997528,1.51828032536459,0.00162351643861935,0.00408220620210258,0.309525015330619
0,0,0.00177509249811508,0.00123894435630819,0.123217239241671,0.062595444553882,0.392802539831758,0.553916863559422,0.688755762021947,0.0303530791412131,4.07439217853147e-07,0.0358783197541563,0.0490322875623208,0.00752466655521264,0.0251510221443211,0,0.00150155228890585,0.0101873743901684,0.000584619280054827,0,0.000408908380073646,0,0.0127476016776045,0.00554588484616199,0.0131024884888689,3.94503246988717e-17,0,0,0.215305722875603,0.0326756886995337,1.24267262558137,0.062595444553882,0.00327664478702093,0.338522962117274
0,0,0.00268763049707591,0.000421368620902575,0.115701833464981,0,0.296710125295821,0.430445725263932,0.626192933965885,0.0409269947630627,1.48009446018694e-06,0.0205859792116794,0,0.0233012298530553,0.114826775901866,0,0.000754379619634658,0.0131156516231264,0.000438770187188175,0,6.01181295027254e-06,0,0,0,0,0,6.85929149100496e-17,0,0.163358846243357,0.138128005754921,1.05663865922982,0,0.00344201011671056,0.279060679708338
0,0,0.00538231704892362,0,0.13296718131894,0.00866964111491859,0,0.474239689861267,1.03783004924917,0.0386460787118779,0.0353661096513296,0.0584656732509448,0.150725311532873,0.0172910638171395,0,0,0.00372937930794915,0,0.000763493537803379,0,0.00235036222552524,0,0,0.0277986008617767,0,0,1.72278096623198e-17,0,0.185955733450478,0.0172910638171395,1.51206973911043,0.00866964111491859,0.00911169635687276,0.318922914769418
0,0,0.00147205420798269,0.000786154625403602,0.123129994466449,0,0.481419895293386,0.618682019342401,0.77796691903588,0.0504005887576924,0.0290581489971888,0.0175175155494195,0,0.0172639442631538,0.116171026204553,0,0.0016595973838136,0,0.0007105135440724,0,3.65699924088509e-06,0,0,0,0,3.90020875906602e-17,3.44298121504377e-17,0,0.200730826775368,0.133434970467707,1.39664893837828,0,0.00313165159179629,0.323860821241816
0,0,0.00152194659238955,0.0579774060900061,0.179720102128812,0,0.16598745607549,0.655872248640608,0.898381818269584,0.00687520581303437,0.0157376848649886,0.0856750652080617,0.219208837114208,0.0292589789851275,0.243746019674214,0,0.00187541196385734,0.0109482274535151,0.00301149877256555,0.0142830964809746,6.39279365905581e-05,0,0,0,0,1.60069257321548e-18,3.25420405585554e-18,0,0.234024896572542,0.273004998659341,1.55425406691019,0,0.00339735855624689,0.413744998701355
0,0.00249162999819847,0,0.000700842755980918,0.118396892111145,0.000249761650497439,0.366619280137948,0.614456320706373,0.670206514347695,0.0301677873871388,0,0.0196862117958983,0,0,0.0243597374487699,0,0,0,0,0.00601882917111147,4.76456015559822e-06,0,0,0,0,0,3.6790249771564e-19,0,0.182365566687281,0.0243597374487699,1.28466283505407,0.000249761650497439,0,0.300762458798426
0.00251835039641327,0.00462706208682741,0.00119794975051711,0,0.170671765851797,0.00832405533440656,0.00279185851271254,0.827461069852566,1.26991296290848,0.0163856837982979,0,0.0346054318235708,0.0848450853500295,0,0,0.00253034675524711,0,0,0.00161544471424215,0.0209927241545474,1.13151433153099e-05,0,0,0,0,0,1.06923684821323e-17,0,0.21376432416833,0,2.09737403276104,0.0108544020896537,0.00119794975051711,0.384436090020127
0.00107956348912935,0.00872512077478655,0.0144082383961278,0,0.11826408663276,0,0.358044446212938,0.713849838613012,0.697252150068471,0,0.00118295739795851,0.0251323766692659,0.0565964925055592,0,0,0,0,0.0132158401036079,0.000138326460495243,0.000146095766470286,4.64477702545181e-06,0,0,0,0,8.09038454577171e-19,1.9946575930336e-18,0,0.179337990185206,0,1.41110198868148,0,0.0144082383961278,0.297602076817966
0,0.00969981771985454,0.0030655723548002,0.011199969937625,0.110662367470306,0.000591512649072214,0.309745193865462,0.522427693335487,0.511797116134983,0.0109351128710983,0,0.0211185451898234,0.0203851355437812,0.000417942017122803,0.0125132024910762,0,0.00476301049299358,0.000604638762761794,0.000892656395125354,0.00925528743772869,1.29752409531961e-05,0,0,0.000221999029158232,0.00141534536039625,0,0,5.28415147937472e-20,0.162071329792899,0.012931144508199,1.03422480947047,0.000591512649072214,0.00782858284779379,0.272733697263205
