Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0,0.00100694984374926,0.0014150262749035,0.0786917493367268,0.00191178869645807,0.280362174421169,0.682276112090453,0.903246191897092,6.64777038101745e-07,0.00595045391645804,0.00985394299209902,0.00513507577178708,0.0665648148022033,0,0.00115568439016195,0.0129091120626832,0,0.0044424365183761,0.00239898308766163,0,0,0.0013388576585131,0,7.32670331254371e-19,4.45851342579502e-19,2.19590503036327e-18,0.190671087182129,0.0716998905739904,1.58552230398754,0.00191178869645807,0.00216263423391121,0.269362836518856
0,2.88841606914744e-05,0.00619634043269073,0.000819883824137051,0.0941804660718219,0,0.44978888108952,0.590984893767105,0.806779936742595,0,0.0066819101356714,0.0988006737416336,0.0065437656866075,0,0,0.00456763876430899,0.0556744260820001,0,0,0.00892376084397978,0,0,0,0,0,2.19530133001204e-20,0,0.214299468649882,0.0065437656866075,1.3977648305097,0,0.0107639791969997,0.308479934721704
0,0.00697869231109881,0.00287359163292429,2.53839335714041e-06,0.0474002340729945,0,0.271056202181866,0.455613531647366,0.687235315322705,0,0.00101612542860058,0,0.00883387466511932,0.0553856351778375,0,0.000773023341728032,0.0106369529272154,0,0,0.000151337067930948,0,0,0,0,4.59106925992239e-19,0,0,0.186950309979617,0.0642195098429568,1.14284884697007,0,0.00364661497465232,0.234350544052611
0,0.00617454767049932,0.00282197402655203,0,0.088513472252691,0.00211381916250634,0.162534394655108,0.594504314271623,0.88412612109511,1.40934359452247e-07,0.0132242376178709,0.0734232759690033,0.00599237877872239,0,0,0.00158574911882413,0,0,0,0.000530126390976883,0,0,0,0,0,0,0,0.178955820843468,0.00599237877872239,1.47863043536673,0.00211381916250634,0.00440772314537616,0.267469293096159
0,0.0156625612364262,0.00361856861609259,0.0140948958758178,0.0737159957121277,0,0.511482206067235,0.566632000047535,1.01770938223555,6.03836931431724e-11,0,0,0.027394042772369,0.0549950319361132,0,0.0028576297209812,0.000174390068835895,0,0,1.32961886502899e-05,0,0,0,0,5.78013195125309e-18,0,1.88512585010619e-18,0.232366269615567,0.0823890747084822,1.58434138228308,0,0.00647619833707379,0.306082265327695
0,0.00117864808345805,0.00195842762565467,0.0154723768019978,0.11749004395707,0.0064897188534697,0.146137410548937,0.690117277495308,0.887087123097287,0.00515860580703009,0.034971771912632,0.117655603706747,0.0106733486812775,0.0983829752435074,0.0163191340314191,0.00166368552105312,0.00887315283887807,0.00102681129488205,0.0103572468235412,0.0116364358403554,0,0.00104912011624078,3.98084103431557e-05,0.00263282427202802,2.14742320054602e-18,0,0,0.210927506828424,0.109056323924785,1.5772044005926,0.0228088528848887,0.00362211314670779,0.328417550785494
0.0289810004773154,0,0,0.00143232497483956,0.0958719366885336,0,0.3128322040512,0.599783694275404,0.658319271823522,8.94501294286996e-07,0.038142382224907,0,0.000490312910261981,0.0764965111992683,0,0,0.00107007667497527,0,0.0132198579722211,5.70268144463226e-06,0,0,0,0.0203309868840176,7.87923314427387e-18,0,0,0.226309354098996,0.0769868241095303,1.25810296609893,0,0,0.32218129078753
0.0149198265977772,0.0406409521755789,0.00405000944774807,0,0.124758876847576,0,0,0.506108157585328,1.45359186015726,1.21980795429689e-11,0.129444079737217,0.210621214487023,0.00743782572137097,0,0,0,0,0.0059584474074588,0.0349491520738602,3.79773049210309e-05,0.00711997379706582,0,0,0,1.91141247009262e-18,9.50608183473379e-19,0,0.209764000971382,0.00743782572137097,1.95970001774259,0,0.00405000944774807,0.334522877818958
0,0.00622784438675423,0.000890685410881812,0.000304446845325831,0.104280258595903,0,0.301535959499422,0.652637915978981,0.733452874316096,5.63523056537441e-07,0.0207360358178574,0.086014682079034,0.00150951614933036,0,0,0,0,0.000435452827977207,0.00227459622923687,5.99210930861425e-05,0,0,0,0,0,4.61889438618523e-19,0,0.19843325907401,0.00150951614933036,1.38609079029508,0,0.000890685410881812,0.302713517669913
0,0.0304239166395538,0.00105139803635558,0,0.0889173772812413,0,0.276183480881902,0.564053713470795,0.551791531242569,0,0.0442778655260955,0.044727804135076,3.38827871179319e-05,0,0,0.000673387931695065,0.00410009668570582,0.00222744163446225,0.0286961468738384,0.00389716800899572,0.00383233410979609,0,0,0.00864488014360948,2.23597833829373e-18,0,0,0.170905813135696,3.38827871179319e-05,1.11584524471336,0,0.00172478596805064,0.259823190416937
0,0.00832421567170878,0.00083780317130367,0.000266901932539003,0.0927202327003295,0.00150787055261122,0.447573410087215,0.504443965612257,0.397182742878933,1.24331872358616e-06,0.0213977378424263,0.0122466767956124,0,0,0.0134743945261908,4.25691400408177e-05,0,0.000367302115172118,0.0102470995093112,5.0892827936379e-06,0,0,0,0,0,6.65380968022017e-18,8.62981806654793e-18,0.229098156196514,0,0.90162670849119,0.014982265078802,0.000880372311344488,0.321818388896843
0.00390769975433085,0.00642282942906709,0.00494627478494255,0,0.0697891554676044,0.0300040429473712,0.278733859462121,0.643988710631054,0.947960526496273,1.03588383897083e-06,0.022080369926255,0,0.0166968769515016,0.0953607857173557,0.00913764997226143,0,0,0,0,0.000428657732350617,0,0,0,0.00911383846331234,0,8.47830091511582e-19,0,0.194676654687821,0.112057662668857,1.59194923712733,0.0391416929196326,0.00494627478494255,0.264465810155425
0,0,0,0.000895476034972843,0.107151743308283,0.00109287890934437,0.156263499375849,0.656835333773602,0.655456233829785,0,0.0492475538853798,0,0,0.00820274553736802,0,0,0.00729039490535699,0.00308277372287954,0.0635702038838866,4.35439723032313e-07,0,0,0,0,0,0,2.16730086313793e-17,0.228542150230419,0.00820274553736802,1.31229156760339,0.00109287890934437,0,0.335693893538702
0,0,0,0.000506657731282842,0.0491527203494328,0,0.341510293248246,0.245579278910081,0.701168324324274,1.18095214396099e-06,0.0208377172421143,0.108888647755116,0.0353091245035205,0.0204458974842209,0.00107758706980463,0,0,0,0,2.61437866605915e-06,0,0,0,0,0,0,1.21058387947168e-19,0.229825062188055,0.0557550219877414,0.946747603234354,0.00107758706980463,0,0.278977782537488
0,0,0.000477560843197941,0.00142092927810948,0.0628609730254149,0.0027905767951396,0.162185149398181,0.638560275978573,0.878467707850589,2.42312075546453e-07,0.0182952049011485,0.0241449469372197,0.00100640772570228,0.012117864554837,0,0.000212263932475922,0.00999810620413833,0.000709539223630136,0.0181518136861705,1.7858884806892e-06,0,0,0,0,1.67868339581956e-18,0,1.90881266381317e-18,0.211309987474106,0.0131242722805393,1.51702798382916,0.0027905767951396,0.000689824775673863,0.27417096049952
0,0.0115286962688787,0.00342693585481954,0.000330271813511754,0.0836728383243804,0.00393480634540689,0.37788227018429,0.543829270289958,0.965352018156833,1.25662942065975e-06,0,0.0168357278102622,0.0201025552838504,0.0846617300201112,0.00584980488660494,0.00420892358747476,0.0193026286738155,0,0,5.84639410385119e-05,0,0,0,0,4.91558130619811e-18,2.50737428297272e-18,1.69414569471912e-18,0.186535448211365,0.104764285303962,1.50918128844679,0.00978461123201182,0.00763585944229431,0.270208286535745
