Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0,0.000942566873848757,4.0200950708628e-05,0.150206677056858,0.00467803967452315,0.20498120045939,0.73676471765746,0.918559955367546,0.0371342825144064,2.97815664353224e-08,0.0245972875192576,0,0.000737791882581672,0.00158894958881048,0,0.000838936160401119,0.0138632245069632,0.000160116170775793,0.0127544351618254,0.000185801727685829,0,6.10440765186426e-05,2.21531632271634e-05,2.30351492855249e-06,3.07342538971888e-19,2.88431751157734e-19,0,0.00232674147139215,1.65532467302501,0.00467803967452315,0.00178150303424988,0.150206677056858
0,0,0.00109207755154898,0.000544921490115884,0.181214167463626,0,0.343648444355678,0.661840833956209,0.818260411118726,0.00233127722769451,1.76733483826422e-08,0.0214005727506738,0.0390450526313976,0.00757399536261075,0.00571558980905621,0,0.0634806112245685,0.0218571083300212,0.000672546993812691,0.00614401647008875,6.30610833505821e-05,0,0,0,0,0,0,0,0.013289585171667,1.48010124507493,0,0.0645726887761175,0.181214167463626
0,0.00322402815664018,0.000250078546378199,0.000434918837122509,0.144669242033044,0,0.321962521196212,0.528252600677997,0.590757365911187,0.0313481438408643,0,0.0165839419324474,0,0.00252554850011482,0.0061063781448674,0,0,0.0101039158963923,0.000434392979034571,0.0024209231183049,5.82514336196515e-05,0,0,0,0,3.453470080345e-19,0,1.31862575745702e-19,0.00863192664498223,1.11900996658918,0,0.000250078546378199,0.144669242033044
0,0.0017616425595403,0.00278826546677332,0,0.148851685585811,0.0130825209634471,0.076261323236205,0.408836334200876,1.17118024948811,0.000138809452315538,2.60432912218492e-07,0.0298504998582658,0.106138910616823,0.00203688250197244,0,0.00152214628348277,0.00155850318387158,0.0132947723062494,2.68900529786438e-05,0.00812932599577892,0.00019057604540083,0,0,0,0,7.11798800579439e-20,0,1.09696102170882e-19,0.00203688250197244,1.58001658368899,0.0146046672469299,0.0043467686506449,0.148851685585811
0,0.0115018156445996,0.000541198325561388,0,0.18368183781926,0,0.486925779607261,0.718611193980453,0.889909638968146,0.0327738883749967,0,0.0125072054308135,0,1.12674431754397e-05,0.0340929229022406,0,0.000626430735282029,0.0137629414423724,0.000599401512886054,0.010119335914751,0.00016889233968048,0,0,0,0,9.8395499978983e-18,0,1.15009024616887e-18,0.0341041903454161,1.6085208329486,0,0.00116762906084342,0.18368183781926
0,1.62238696971503e-06,0.00140709357444206,0,0.1722362482971,0.00459053876325905,0.0980283200149286,0.703826202931141,0.883333831448806,0.00415279132717578,0.0186798042030734,0.0367902990928565,0.0543784975108719,0.00597505077098376,0.00362339370049671,0.00176751882003444,0.00193855452502397,0.00494081831722726,0.000991085426901272,0.00569659284648671,5.40653515752126e-05,0,0,0,0,0,2.49348150232038e-18,0,0.00959844447148047,1.58716003437995,0.00635805758329349,0.00334564809946603,0.1722362482971
1.72893348551138e-09,0,0,0.000860014554146318,0.154196387544837,0,0.362902262522388,0.687557418394848,0.710696953587629,0.057739579278614,6.77755376195842e-07,0.0356512373483002,0,0.000820940002549967,0.0428647250848394,0,0,0.00194405130466303,1.57674358698497e-05,0.00798726384126268,2.0999897085091e-07,0,0,0,0,1.32811397321909e-17,2.08511504343172e-18,1.19637953561774e-17,0.0436856650873894,1.39825437198248,0,0,0.154196387544837
0.00207854739859926,0.000683178383317542,0.00163459972301705,0,0.186308447358705,0.0103901113465417,0,0.831215892459183,1.28911972930409,0.0295086350752131,1.96644673171518e-09,0.0475297154056193,0.0733900490242026,0.000868206757032966,6.06642321978983e-06,0.00148663863261837,0.00072478848182976,0.00581665667331727,0.00182347336588244,0.0141817987275609,0.000330032172569387,0,0.00111171992467936,0,0.000691820437966085,0,1.15035185607185e-19,0,0.000874273180252756,2.12033562176328,0.01187674997916,0.00235938820484681,0.186308447358705
0.000669145063212468,4.56552939725053e-05,0.0014580804540911,0.0121183583509739,0.15186657853067,0,0.292988285025059,0.776264660435205,0.777325079229341,0.0142564604621392,1.00518219485072e-11,0.0252004586154461,0.0626670058406023,0.0103940460340239,0.0041498686544744,0,0,0.00235554798313861,0.00282403794380739,0.00913340835675056,6.88388092382523e-06,0,0,0,0,6.58080858441187e-20,0,0,0.0145439146884983,1.55358973966455,0,0.0014580804540911,0.15186657853067
1.3954901468524e-05,0.00433938555474819,0,0.000252354553454786,0.12533916423316,0.000748426387290789,0.368895166796802,0.578649600992659,0.568788394624636,0.0106770226028532,0,0.0208156945508589,0.02856852182312,0.00711826166670823,0.0121748655630311,0,0,0.00347009195282923,0.000701937722326398,0.00705681989178339,6.22777133591775e-05,0,0,0,0,0,0,2.29125269131028e-18,0.0192931272297394,1.14743799561729,0.000748426387290789,0,0.12533916423316
