Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0,0.00115072530903207,0.00134646391436328,0.0764736187895866,0.00324876524573513,0.226798264756274,0.681109300627916,0.925539861835341,0.00642929121636589,6.0261316896992e-07,0.00572889337880935,0.00882626245178764,0.00815902860956794,0.0540860406845475,0.000350621027310272,0.000680897345356744,0.0102593260210507,0,0.0200338098540359,5.82233952678778e-05,0,0,0,0,2.84543317078553e-18,0,0,0.182941117080316,0.0622450692941155,1.60664916246326,0.0035993862730454,0.00183162265438881,0.259414735869902
0,0,0.00294706290095229,0.000936123796215035,0.0925985784245493,0.00126794545965875,0.330522992989504,0.636555273061937,0.851437394075625,0,0,0.00800590484559483,0.0546437575587793,0.00298927155826156,0,0,0.00932123134560921,0.0179157695111874,0,0,3.25224994022683e-05,0,0.00111354257351605,0,0,0,0,1.57452837046167e-18,0.206590306604724,0.00298927155826156,1.48799266713756,0.00126794545965875,0.0122682942465615,0.299188885029273
0,0.00161888590481376,0.00184372505448803,0.000270178630941887,0.0580055117263364,0,0.234765195219102,0.495033794482551,0.702039092431577,0,1.65513653381117e-07,0.0260320038785599,0,0.00827980541535548,0.0510451480865176,0,0.000695673169808173,0.00815063909934672,0,0,0.000312320674258818,0.00100991050988866,0.00307398658808586,0.00189519884779338,0.00595640309322236,0,1.76072520376868e-18,0,0.181748360685347,0.059324953501873,1.19707288691413,0,0.0025393982242962,0.239753872411683
0,0.00898871636543349,0.00377696990612531,0.00629121110169795,0.0720804753111628,0.000939717372794679,0.175388801130761,0.597769283918274,0.916592177443575,0,1.21318522912207e-08,0.0150391446507854,0.0870017391263368,0.00088230731778452,0,0,0.00213224547966229,0.00182798059869115,0,0,0.000281866944242278,0,0,0,0.00748564562715678,0,0,0,0.171830761095657,0.00088230731778452,1.51436146136185,0.000939717372794679,0.00590921538578759,0.24391123640682
0.0303134613420455,0.00786635386076283,0.00173156628464583,0.000343179674284543,0.0774903099570376,0,0.488910103188072,0.705842277538431,0.889176562204545,0,0,0,0,0.0101439180354078,0.0573188588257098,0,0.00143503940213305,0.00295927354603776,0,0,6.56287861611354e-05,0,0,0,0,6.02646606879628e-18,2.47149178960899e-18,0,0.215974770100977,0.0674627768611176,1.59501883974298,0,0.00316660568677887,0.293465080058014
0,0.000235224408457558,0.00160523501526109,0.000559096486588509,0.134088365352307,0.00402998771255664,0.172507807280383,0.730313834638202,0.896141021414897,0,1.2636028405704e-07,0.0266280003640549,0.0928568393816379,0.02097495343636,0.0903006628993931,0.0046870467156133,0.0012789046368504,0.0159095895660052,0.00764198482267333,0.00741225690362329,0.000158302132724171,0,0.00330894225363829,0,0,0,1.51008918347121e-18,2.29792647287822e-19,0.209080862199245,0.111275616335753,1.6264548560531,0.00871703442816993,0.00288413965211149,0.343169227551552
0,0,0,0.00129991424722766,0.0912928372654048,0.000245675297497301,0.292979034942342,0.595644857847722,0.676874905441633,0.0138510584600801,4.19865998896558e-07,0.0310307908369396,0,0.000527847129731026,0.0733815666049973,0,0,0.00224136632852089,4.35681007347098e-06,0.00919005795423177,9.22412258265981e-07,0,0,0,0,2.55268015674928e-18,1.07384121452027e-17,0,0.22150024728562,0.0739094137347283,1.27251976328935,0.000245675297497301,0,0.312793084551025
0.00236215483869356,0.00868182016712733,0.00200984304085517,0,0.130706079521703,0.00913112677009246,0,0.836479326995949,1.26895800363996,0,0,0.0455769369032597,0.0927810014221381,3.00714008521856e-05,0,0.00563144228660281,0,0,0.0016320795562555,0.0130083666019894,2.51389110098091e-06,0,0,0.00171708214904195,0,7.86053013389398e-19,6.68370433865461e-19,0,0.247921734647051,3.00714008521856e-05,2.10543733063591,0.0147625690566953,0.00200984304085517,0.378627814168754
0,0.00338320767804543,0.000974251050051979,0.00036226818485426,0.0970625132501058,0,0.319345233783265,0.72129107140004,0.694872785155659,0,1.10967393362626e-07,0.0213718318207215,0.0745220223150463,0.000483842032329343,0,0,0,0,0.000414566034862871,0.00440164156334385,4.75000098215923e-05,0,0,0.00376923538956689,0.00720750060066066,0,0,0,0.208151130942476,0.000483842032329343,1.4161638565557,0,0.000974251050051979,0.305213644192581
0,0.0180817234069575,0.000659842826338964,0,0.0901181217156444,0,0.287698894403641,0.533548296667729,0.546458461691215,0,0,0.0310614208428344,0.0344879328868498,0.00212191334090901,0,0,0.000400723531804925,0.00729898420580797,0.00439113065219673,0.0183954974196689,0.000794571038605399,0,0,0,0,3.93258421206903e-17,2.76719181401812e-17,0,0.170060342545614,0.00212191334090901,1.08000675835894,0,0.00106056635814389,0.260178464261258
