Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.00656184997091012,0,0.0574844305624958,0.189800848556338,0.000834014312123698,0.189238930307282,0.0729689537479642,1.47426341752785,1.83212584832025e-08,0.00208369634134086,0.00543649522985693,1.53811819569192,0.182055616300823,0.0628801495762943,0,0.00462178136114465,0.00010234087132127,0.00361409958767232,4.33249939728329e-05,0,0,0,0,3.35203634872226e-18,0,0,1.72017381199274,1.54723237127582,0.063714163888418,0,0.189800848556338
0,0.0133630984085351,0.000298834369975712,0.000412890463030237,0.233152955624271,0.17809814312781,0.218305756933889,0.0517483469300537,1.75213048815678,0.165782781281311,0.00436601599802868,0.0294916610381291,1.74250276917161,0.189074068939155,0.00151040212299548,0.000158697746113806,0.00568062774884495,0.000334917580252021,0.00245810163459773,7.30963256648993e-05,0,0,0,0,0,0,1.06742966086186e-17,1.93157683811077,1.80387883508683,0.179608545250805,0.000457532116089518,0.233152955624271
0.00111548692210049,0.0106507291449581,0.000283750864937808,0.000114001046975819,0.223090430086109,0,0.114314992672193,0.0502608049137809,1.34739514039719,4.11681518635883e-08,0,0,1.48021165357318,0.176372805720651,0,1.22472749762941e-05,0.00611627351542533,4.0924870260677e-05,0.057288492686392,0.00022057901712474,0,0,0,0.0248900279395278,3.85695837783061e-17,3.2149224762107e-17,0,1.65658445929383,1.39765594531098,0,0.000295998139914102,0.223090430086109
0.00121251195418756,0.0121430711331529,0.000241027654088709,0,0.200559438949816,0,0.224860395584488,0.137105652060412,1.55787040192832,7.55378831834502e-08,0.00378949419526236,0.0113219128442529,1.52440902348638,0.142863709001999,0.0915909954816682,7.08685752370619e-05,0.00262998747483201,9.92812312019866e-05,0.0676033862356141,0.000640331872228414,0.0097494185662479,0.0692387915850157,0.0550866430954217,0,0,0,6.88293871650854e-18,1.66727273248838,1.69497605398874,0.0915909954816682,0.000311896229325771,0.200559438949816
0.117422564014636,0.0864921909694145,6.08746659854319e-06,0.000512248545060054,0.230277217818223,0.000538136058893819,0.217917071264857,0.164153999080706,1.59487009395392,7.54090395237633e-10,0.00294878001469188,0,1.84553081877297,0.179110174830844,0.000239958087318862,0,0.00305278591643622,0.000301292385503681,0.00272939131552466,0.00113027074553735,0,0.0509409527068434,0.0336619179255979,0,9.34456603467671e-18,1.01246492776901e-17,0,2.02464099360382,1.75902409303462,0.000778094146212681,6.08746659854319e-06,0.230277217818223
0.00384009888599974,0.00558081767116118,0.000663748682466198,0,0.263498663340071,0.0673651711905016,0.233613236397236,0.177425693813755,1.65913489502847,5.99131076234335e-07,0.00283542415138905,0.0638979137455228,1.58315263913481,0.125731998846679,0,0.0225339246838409,0.00859387662148051,0,0.00475604288301003,5.6164168960185e-05,0,0,0,0,3.0092549338605e-17,3.83685640100144e-17,0,1.70888463798149,1.83656058884223,0.0673651711905016,0.0231976733663071,0.263498663340071
0.00230441931983238,0.0207394912385872,0.022716690336557,0.0146670788562584,0.215686023141614,0,0.226952848485815,0.0987512304201591,1.45992837415611,6.00006706516875e-07,0.000691089295911773,0,1.51029844475827,0.0772519803293474,0,1.62390931709117e-05,0.0194546665502954,0,0.00267141776478872,3.4111359071829e-05,0,0,0.01203363805756,0,8.61250821658988e-18,7.62386712810027e-18,0,1.58755042508761,1.55867960457627,0,0.0227329294297279,0.215686023141614
0.0772113546374118,0.0118266903946041,0.000275527425557269,0,0.230872490623769,0,0.224016452444916,0.135906834185796,1.81162926844035,6.29733087681295e-07,0.00123980243644797,0.0111077597038591,1.71067649224548,0.132427751549481,0,4.95575224342828e-05,0.00624609006757926,0,0.00114073349068198,0.000183922878384695,0,0,0,0.0546547477793746,2.89182631023284e-16,1.2578838045745e-16,0,1.84310424379496,1.94753610262615,0,0.000325084947991552,0.230872490623769
0.00276680502584971,0.00435914689510515,0.00034880910575362,0,0.221374492451083,0,0.251262773818583,0.13540631490201,1.55930579539834,1.68153492313287e-07,0,0.00782713380564562,1.53352013080014,0.083852383732158,0,0.000219317196337128,0.00775626289399713,0,0.00345718750092762,0.121271954379854,0,0,0,0,9.24633535459424e-18,4.57696407265752e-18,0,1.6173725145323,1.69471211030035,0,0.000568126302090748,0.221374492451083
0.00221238924544622,0.00662955119879698,0.000159751130074194,0,0.210520009867917,0,0.207054655649475,0.119783743085979,1.46112271678697,1.5441107946429e-07,0.00140678619956551,0,1.43486758842503,0.103955333211968,0,0.0230098830391184,0.00631553002275086,0.000257342733400844,0.00718246357645415,0.000852102228286458,0.0416072781716072,0,0,0,0,0,0,1.53882292163699,1.58090645987295,0,0.0231696341691926,0.210520009867917
