Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0.0563499653734989,0.000241953751471835,0.0136162518706647,0.144861090266531,0.00105781549508188,0.196057051138176,0.0986382815369048,1.40403123474411,0,0.00449706139091993,0.00599201823049742,1.55550968686408,0.190676413565813,0.00037783100039732,0.000273256451230326,0.00414742911882901,0.000128718432362939,0.00414261254329007,0.339607843631305,0,0,0.00343435680945305,0.00157287032265624,1.23154564496843e-18,0,0,0.225683189081291,1.7461861004299,1.50266951628101,0.0014356464954792,0.000515210202702161,0.370544279347822
0,0.0126425633481846,0.00045886725803678,0.000399687012305013,0.170727803196567,0.00296465033343892,0.201241006167654,0.0682175549393419,1.5458939944326,0.0065544701548983,0.00383766705099676,0,1.72688696942159,0.159214507306787,0.00193703435170785,0.000423534142155021,0.00570646559330017,0.000214556593150832,0.00213587702841264,0.347711469354965,0,0,0,0,0,0,0,0.296399810073754,1.88610147672838,1.61411154937194,0.00490168468514677,0.0008824014001918,0.467127613270321
0.0003651969727846,0.00920166640622854,0.00984764756678832,0.00142927596249508,0.196022871261365,0.00169312944749574,0.138304166849144,0.135558318142754,1.33292028423884,0.0170465891308174,0.00161720992403087,0.0583988890195433,1.50325344417984,0.186583006399402,0.000923984469224835,0.000322453508533638,0.00455355155970694,0.000160220658025928,0.00767489949588689,0.206681541560177,0,0,0,0.00173590775561541,0,5.6396147249506e-18,5.28034943515034e-18,0.218574268167484,1.68983645057925,1.46847860238159,0.00261711391672057,0.010170101075322,0.414597139428849
5.55400037892194e-05,0.0129196189307838,0.000559776534585242,3.74933760997802e-05,0.141319405498984,0.000985945723321273,0.266914180772679,0.19419246789963,1.43515819604338,3.39372673286739e-08,0.00511258132643828,0.021421700423204,1.54234973087715,0.123117984679455,0.000183075058049947,0.000344241100476687,0.00183057500749163,0.00018003469436198,0.00215427690670488,0.258087434445671,0,0,0,0.018972327644659,0,0,2.45734083848563e-18,0.185984720209709,1.66546771555661,1.62935066394301,0.00116902078137122,0.000904017635061929,0.327304125708693
0,0.0071929422424384,0.000149781186373662,0.000347139367584605,0.189070584071683,0.000474983863343153,0.186177977498004,0.232083301980108,1.46985980001027,3.0679908028545e-08,0.00511113489014582,0,1.73386641045601,0.20377419972964,0,0.000250937076829198,0.0298701584631799,0.000316160445839979,0.00405604136892847,0.337418811441744,0,0,0,0,4.37936802542276e-18,0,1.10085215860373e-17,0.300024223104621,1.93764061018565,1.70194310199037,0.000474983863343153,0.00040071826320286,0.489094807176304
0.00218581719273784,0.00395199072602073,0.0634503396561523,0.000135100411683409,0.147173805985619,0.000775344476899391,0.335086168752423,0.411917330129248,1.70789086083969,3.60778149564868e-07,0.00771938782944158,0.0705997312896957,1.7421398115603,0.112709010085485,0.0775057343175729,0.000435560070433873,0.0036150021065299,0.000409838677366154,0.0059157269687058,0.306916243063345,0,0.0349736835788721,0,0,3.06581503287475e-17,0,1.69848363153931e-17,0.206698411960409,1.85484882164578,2.11980819096894,0.0782810787944723,0.0638858997265861,0.353872217946028
0.00157230458588328,0.0662272522016341,0.000170027202039731,0.000364110953427468,0.170179698096545,0.000147434462600711,0.299728304520671,0.243647325514726,1.53232452665039,1.52981470230817e-07,0.00586310848890295,0.0427378957895058,1.54666230543835,0.0517130697414374,0,0.000114711630744234,0.0545410258876185,0.000134748745491737,0.0769233726681364,0.277626819634556,0,0,0,0,0,0,2.84064914178251e-17,0.199000737248284,1.59837537517979,1.77597185216511,0.000147434462600711,0.000284738832783964,0.369180435344829
0.0262006782698787,0.0110755761200655,0.000636124210962965,1.50066020090813e-05,0.207208826482429,0.00544865672749019,0.215596271066612,0.240053399208608,1.82382294487889,0.0791941587287108,0.00213193799244741,0.0796230049002511,1.7277584092497,0.170653411678357,0.00426658936359946,0.000430355120552667,0.00340089712334632,0.000198309654658539,0.0347213556828848,0.306432839108907,0,0,0,0,0,2.33105278541984e-17,1.04101403443543e-18,0.24391465157971,1.89841182092805,2.0638763440875,0.00971524609108964,0.00106647933151563,0.451123478062139
0.085012228536596,0.00414044596360414,0.000620487419762985,5.25765036644352e-05,0.214288894694746,0.250016539158842,0.325082193092699,0.188100230642985,1.61851604166626,1.29323679005678e-07,0,0.0497393658681477,1.64389811330636,0.0861539003112257,0.0441997662800758,0.000565661270730547,0.00524993839933389,0.0935921986100775,0.00460976905726902,0.29771746372409,0,0,0,0,0,0,2.19718339420507e-17,0.226593148755989,1.73005201361759,1.80661627230925,0.294216305438917,0.00118614869049353,0.440882043450735
0.00122754086815602,0.00764164065749708,0.083259460421075,0,0.14403905222158,0.00282530027075976,0.239601198267765,0.192134982991358,1.45419111178242,2.02257731551289e-07,0.00303584362179541,0.0618916380016015,1.50842232407119,0.0810370953898411,0.0624527088665851,0.055092531519601,0.0678974727662398,0.000356040864516468,0.00610230878133249,0.311874511481982,0,0,0,0,0,8.59708882988085e-18,1.2240809154641e-17,0.229003170195759,1.58945941946103,1.64632609477377,0.0652780091373449,0.138351991940676,0.373042222417339
