Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0,0.00068339346211987,0.00133995889402488,0.114142964447211,0.00185773931635016,0.309636845384306,0.680999727836543,0.849171607626966,0.0205180876277114,6.65598997461608e-07,0.00643870500562887,0.0104844993334235,0.00566967018377702,0.0550005391704918,0,0.000252197566788584,0.00823143620509885,0,0.00394456815102384,7.9481776487631e-05,0,0,0.00218181382856653,0.0019452291876544,4.91037561456602e-20,0,7.89691321716678e-19,0.154811473289494,0.0606702093542689,1.53017133546351,0.00185773931635016,0.000935591028908454,0.268954437736705
0,2.47710906022809e-05,0.0019114699132066,0.00101625323516349,0.113515226684087,0.0241292502991641,0.352572048447502,0.635809312856275,0.825687262830756,0,2.60913760835835e-08,0.00806119615091551,0.0460454002893424,0.00219613057881266,0,0,0.0014432766370575,0.0142167798600154,0,0,0.000344883460696064,0,0,0,0,1.41385621096909e-18,1.38056240135315e-18,1.80744073087956e-18,0.174491487682637,0.00219613057881266,1.46149657568703,0.0241292502991641,0.0033547465502641,0.288006714366724
0,0.00199715340383946,0.000760977536320526,0.00528143962416836,0.0865701070272312,0,0.320357512477808,0.533436242352589,0.623351057561485,6.91095232962409e-08,3.05287424910137e-07,0.00740534147189276,0,0.00504978270553226,0.0516974990935115,0,0.000128942904933839,0.00497589584230578,0.00333578280948141,0,7.84540991773353e-05,0,0.000993724621285,0.00148373510258204,0.000763362617246947,0,0,0,0.144730377362417,0.0567472817990438,1.15678729991407,0,0.000889920441254364,0.231300484389648
0,0.00625361272478026,0.00281191364350179,0,0.103808517176781,0.00308249894823901,0.15487765556873,0.631100645666596,0.926997376059672,0,0.00071198158558846,0.0143846075593411,0.0741150018782687,0.00643696676665115,0,0,0.00154128190616781,0.000704009023004751,0,0,2.39824723618095e-05,6.96850138276797e-05,3.62989463306282e-05,4.92944825074503e-05,3.63794228789573e-05,0,0,0,0.150849893197416,0.00643696676665115,1.55809802172627,0.00308249894823901,0.0043531955496696,0.254658410374197
0,0.00417441869929617,0.000813850168434984,0.000665965123914685,0.105722404161479,0.00197408298699942,0.487811518452292,0.723163713856941,0.850726206887593,0.0139028641955011,1.66474594307352e-13,0.000157395118791,0,0.00744366278846162,0.0682083251621831,0,0.000624058370749421,0.0023514546686323,0,0,0.000136057605408078,0,0,0,1.37777870546495e-05,1.32996634298659e-18,2.0352600925705e-19,4.68794234397659e-19,0.173880573330947,0.0756519879506447,1.57388992074453,0.00197408298699942,0.00143790853918441,0.279602977492425
0.000130131734307633,0.000232120715939183,0.00101724463575514,0.000770375957412744,0.148365747939475,0.00311437227223452,0.159195690461236,0.760475681587883,0.914338538194833,0,9.69690323729859e-08,0.0274918982964062,0.0816339807216077,0.00600911082665031,0.0865577005660885,0.00366422355153486,0.000871912288621909,0.0535917033691027,0.0143694185103953,0.00675287735624108,0.000154840781213304,0,0.00819825250704877,0,0,0,0,4.69607391036946e-19,0.201303193752138,0.0925668113927388,1.67481421978272,0.00677859582376938,0.00188915692437705,0.349668941691614
0,0,0,0.00129083035462695,0.12643904763929,0.00104814018131674,0.286521727434378,0.604963280075543,0.690961247459921,0.0373656563963392,5.95917207286571e-07,0.0288315051968976,0,0.000861183183186669,0.0727196124763323,0,0,0.00248423712368065,0,0.00845652492003003,0.00353217770895807,0.00161316254706936,0,0.00329702303404955,0.00329399731475424,0,0,3.56632458559063e-19,0.187248327741313,0.073580795659519,1.29592452753546,0.00104814018131674,0,0.313687375380603
0.00322032718279306,0.00760117961954826,0.0018717199257675,0,0.168050343907188,0.0087565937096098,0,0.803024313821283,1.28640540970598,4.79784749743264e-05,0,0.0443002078773072,0.0900183647579137,0.00023726078019667,0,0.00124159832356402,0,0.00187285826750697,0.00182275974812688,0.0163605808418059,6.4796432198615e-06,0,0.00196839554351004,0.00282654660835266,0.00318265913911497,1.8791969134227e-19,0,1.06122596000772e-18,0.204950656578935,0.00023726078019667,2.08942972352726,0.00999819203317383,0.0018717199257675,0.373001000486123
0,0.00476005330880994,0.000368690411600917,0.000577287370966942,0.115556899480084,0,0.321055289334418,0.664166784875421,0.732267637157977,0.00594678076522921,0,0.0171209444812427,0.0688208639046545,0.00103380219534804,0.0105902680674691,0,0,0,0.000265621503644433,0.000701788434384295,8.92361688958572e-06,0,0,0,0,0,0,1.62608979682732e-18,0.175635190223122,0.0116240702628172,1.3964344220334,0,0.000368690411600917,0.291192089703206
0,0.00494810272336569,0.000134480564758387,0.000480209266389347,0.104340972914572,0.000709488881476937,0.321988356888546,0.534361420640453,0.52713195717566,0,0.000123515598585966,0.01588226604337,0.0187293145608014,0.000450587764098905,0.026513053359769,0,7.55755625360895e-05,0.00202996875394942,0.000541351122383354,0.00610603204858462,3.55338032199993e-05,0,0,0,0,3.21827667876731e-19,0,1.44435603523467e-18,0.152754086074447,0.0269636411238679,1.06149337781611,0.000709488881476937,0.000210056127294476,0.257095058989019
