Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0.00452474072533135,0.0002008940242536,0.000528030874090465,0.133639090711632,0.00223591380245001,0.206179643190965,0.0757845023874832,1.27097223480581,0.017010912969771,2.16372656472488e-07,0.00688172867687209,0,1.43637170961112,0.149170445268713,0.000990405180614968,0.000513979705909323,0.00357734179045805,0,0.000938588149496073,0.00677692836237992,0.000412064087910214,0,0,0,1.10428688296621e-18,0,1.64856696214451e-18,0.167020079718604,1.58554215487983,1.3467567371933,0.00322631898306498,0.000714873730162923,0.300659170430236
0,0.00345198466281549,0.0209253974697775,0.000327398233960171,0.123557333629903,0.0160704933858117,0.284613178817905,0.128520319215927,1.44582914840262,0,3.99597080331381e-08,0.00515001435298696,0.0102775375522547,1.69963529329845,0.0871284903131287,0.0108480467204737,0.01539448726497,0.00461578710956618,7.88125769414932e-07,0,0.0120515722932418,0,0,0,0,1.11463330712658e-18,1.06486703456701e-18,8.36316880318382e-19,0.223925468500257,1.78676378361158,1.57434946761855,0.0269185401062854,0.0363198847347475,0.34748280213016
0,0.00322846863743266,0.000197830182911848,0.000245989132217131,0.136077547030282,0.00193534728911146,0.152032911600487,0.0607131735702001,1.13980182044266,0,2.85037819882389e-07,0.00531749162099135,0,1.36238796399913,0.191701685655724,0.000758434175353706,0.0160221603979028,0.00351365697955422,4.08128979339199e-05,4.60078022463894e-07,2.76555527419859e-05,0,0,0,0,0,2.79704058914756e-18,4.58641805073166e-18,0.154546809692296,1.55408964965485,1.20051499401286,0.00269378146446516,0.0162199905808147,0.290624356722578
2.36719987797778e-08,0.0124508207400201,0.000307077786001775,7.40083510992162e-05,0.140051156909972,0,0.228804102305072,0.0956625457255652,1.24870867656669,0,1.06385437491415e-07,0.0115129504484612,0.0129394321153244,1.43073199271181,0.138231114468017,0,0.0198216938424081,0.00181681118729094,0.000331130990596962,0.00392673383516133,1.38197505359323e-05,0.0012904600689778,0,0,0,0,1.28063749396785e-19,1.10104725188704e-18,0.162307317625369,1.56896310717982,1.34437122229225,0,0.0201287716284099,0.302358474535341
0,0.00376403601985176,0.000255519848798349,0.000296873659918471,0.130518381049568,0.00150221940780476,0.304977498134556,0.317843191408546,1.25558350699679,0.0402761036437293,0,0.00475127337756347,0,1.71765562920059,0.101358307247959,0.000182490723413919,0.000565839446736859,0.0103371560098411,6.27479400419007e-05,0.000422182766960529,4.96484780282656e-05,2.9821976284192e-06,0.000199639648890436,6.09209455043307e-05,0.000146649096262648,0,6.37516013856002e-18,2.13734051384499e-18,0.195667551337586,1.81901393644855,1.57342669840533,0.00168471013121868,0.000821359295535208,0.326185932387154
3.66408050824518e-05,4.32093659563919e-05,0.000175176761742372,0.000171860433919561,0.197112550155618,0.00660258489955891,0.211805092178771,0.135202598871902,1.27500636920122,0,5.54831517192477e-07,0.0138483202605925,2.0666261105089e-05,1.52679163142551,0.157311867357218,0.0076076205325387,0.000582364333432014,0.00252718717042953,0.000414608350396779,0.0141663099433805,2.51900977799479e-06,0,0,0,0,0,1.68927839483055e-18,0,0.174371477586066,1.68410349878273,1.41020896807312,0.0142102054320976,0.000757541095174386,0.371484027741684
1.35160914198434e-06,0.00185936919521639,0,0.000552771462118023,0.154979955581746,0.00142945223789763,0.214141849155912,0.0575895934734079,1.19631494022945,0.00731225023960958,0.00926084839209727,0.0139166651364569,2.02750650505712e-05,1.43500710484184,0.0915399014474012,8.47890895864412e-05,0.00177580080130864,0.0111567403552447,0.013326212962805,0.00164958430163377,4.66341504128088e-06,0.000718730860861474,0.000656933239689829,0.00070775066534269,0.000495038954186032,1.3712963839153e-18,0,0,0.145615823923999,1.52654700628924,1.25390453370285,0.00151424132748407,0.00177580080130864,0.300595779505745
1.44743448039236e-06,0.0448385480345724,1.02784021583366e-05,0.000317877330204013,0.223424571388527,0.00175956060982116,0.219713291257428,0.0879344904036153,1.4841970324471,0,1.38319446580079e-06,0.0135628794245297,0.0154373507875944,1.62862324824643,0.254531112922166,0,0.00026292882657436,0.0194436111348919,0.000502672637260416,0.00431887588748785,9.1052358261449e-06,0,0.000256075659969677,0.00105935922341936,0.00221855277725146,6.28767754168614e-18,0,0,0.180335206080534,1.8831543611686,1.57213152285072,0.00175956060982116,0.000273207228732697,0.403759777469061
3.21494605508566e-05,0,0,0.000243153903367334,0.12464548376782,0.00130926337292407,0.213119436805725,0.0348834450746858,1.22389378393293,0,3.36736691254011e-07,0.00595408015415199,0.0100606988779646,1.41408822874581,0.150150734814983,0.000509134173245441,0.000230864415429719,0.00117390515906284,0.000167952086957247,0.00139198885204353,4.43691587250196e-05,0,0,1.12121034367859e-05,0,0,2.90478148434383e-18,0,0.148951792076921,1.5642389635608,1.25877722900762,0.00181839754616951,0.000230864415429719,0.273597275844741
7.03801268538766e-06,0.00226857481769324,6.577497560489e-05,9.25342548730818e-05,0.137505196150387,0.032659596672331,0.192824695466629,0.0875131830876309,1.12837581206095,0,0.00549539536633174,0.0121500471147376,0.0005362738143966,1.37493114143576,0.150770104074964,0.0143223684267442,0.0097450984173426,0.00774902679107804,0.0119929240486204,0.00228024232539656,8.46636802004451e-06,0,0,0,0,0,0,1.03111189433299e-17,0.159511121131028,1.52570124551073,1.21588899514858,0.0469819650990752,0.00981087339294749,0.297016317281414
