Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,MM3co,tNAA,Glx,tCho,tCr,GABAplus
0,0.0158571556784499,0.000591495954190713,0.000295176928637381,0.117594623336426,0.00278571582511727,0.277987647678679,0.698297688390117,0.846118733145048,0.00460716717893206,0.0237371847245747,0,0,0.000224476402948764,0,0.000506633296234345,0.0121745928333571,0.000165888588635452,0.0118637251595197,0.000205614195099415,0,0.000119198205560126,0,0,0,0,2.89410520670057e-18,0.191026079859861,0.000224476402948764,1.54441642153517,0.00278571582511727,0.00109812925042506,0.308620703196287
0,0.0021940166406577,0.00117120831728342,0.00319465043806717,0.126751387164684,0.005844295908008,0.308654739832986,0.668696005019306,0.80816645759116,7.98296288283476e-08,0.0213892637399501,0.0270901786012332,0.00118256024977048,0,0,0.00127062660785507,0.0170100330513345,0.000528386830741248,0.00539216149230239,0.000262971545504445,3.13606819303704e-06,0.000413708588244136,0,0,0,0,0,0.21271612901644,0.00118256024977048,1.47686246261047,0.005844295908008,0.00244183492513849,0.339467516181124
0,0.00961946796742259,0.00108176559953362,0,0.108550438511061,0,0.186217602700582,0.480275030037456,0.68141585081217,0,0.0177293884504863,0,0.000528320824886069,0.0166759144882294,0.00583871826850769,0.000308403787394932,0.0169326530948266,0.000508521950598497,0.0031254500218223,0.00992892094253467,0,0,0,0,0,0,0,0.174169456078129,0.0172042353131155,1.16169088084963,0.00583871826850769,0.00139016938692855,0.28271989458919
0,0.00411769844301171,0.00143529953399287,0,0.121362933528525,0.0069855908268756,0.0129623474585724,0.658868261564624,0.972662500303492,9.80272228432853e-08,0.0260715277693974,0.0493437142205261,0.000141605356489468,0,0.000485445811171033,0.00111365729865449,0.00843659535327859,0.000336015358743661,0.00987021361744989,4.76526447629937e-05,1.02982831393514e-06,2.65171070814605e-07,0,8.91564426067317e-09,2.86401862400827e-19,0,0,0.188176536843164,0.000141605356489468,1.63153076186812,0.00747103663804663,0.00254895683264736,0.309539470371689
0,0.0105168004070949,0.00273539131215269,0,0.126390438208309,0.000419539597044015,0.461234142985555,0.749102162863845,0.885765998657159,4.04482446838706e-08,0.0160962320347672,0,0.000190398943099809,0.0297834103798596,0,0.000810484096744861,0.0113740926184127,0.000560501001700441,0.00931849048311305,0.000137840749188406,0,0,0,0,0,0,0,0.224207029926037,0.0299738093229594,1.634868161521,0.000419539597044015,0.00354587540889755,0.350597468134346
0,0.00188132917896244,0.00129046229434412,0,0.146412437237718,0.00422460268303396,0.129169544371817,0.718840049706127,0.896916714450123,5.5084281613865e-07,0.0450476123087415,0.053511716038034,0.00175640386942238,0.0136405251720457,0.00240623320295038,0.0227066224850773,0.00548733219683453,0.00100048187664406,0.0130062048830499,0.000500857797609494,0,0.0051029454732822,0.00705780381619074,0.00788937108829596,2.15605059232627e-18,2.41198654819966e-19,0,0.198446273583903,0.0153969290414681,1.61575676415625,0.00663083588598434,0.0239970847794214,0.344858710821621
0,0,0,0.000919349627556473,0.116975221526942,0,0.39321994058405,0.663421039575717,0.690467601070341,1.76152509550768e-06,0.0354193905548862,0,2.68997181450908e-05,0.0514735623566958,0.0193348453348586,0,0.00161218166447769,1.0179002054557e-05,0.00734159691116028,9.59800938438253e-06,0,0,0,0,0,1.5335144911352e-18,8.43055934775782e-19,0.192329421062951,0.0515004620748409,1.35388864064606,0.0193348453348586,0,0.309304642589893
0.00135512514178666,0.00532979394193407,0.001020041528696,0,0.1596566544558,0.00986133990264841,0,0.896668340599057,1.28614947501245,5.07868563230236e-08,0.0461847773264297,0.0730509965315065,0.000304479989339498,0.00761484041690154,0.0022681108844339,0,0.00274214878676177,0.00169617797722125,0.0117833573927956,1.4076544158532e-05,0,7.94028232096692e-06,0,2.00027841441801e-05,7.72264592488557e-21,4.76896221364268e-18,3.72059677441927e-18,0.209959894265526,0.00791932040624104,2.1828178156115,0.0121294507870823,0.001020041528696,0.369616548721327
0,0.00910256622614253,5.19355814342441e-05,0.000329073579802926,0.121289315858406,0,0.342354351227895,0.715638422436037,0.709142884343473,0,0.0231481926263716,0.0917909669020772,0.000186282160262997,0.0506482137177821,0,0,0.00402496756524605,0.000625355996503909,0.00975524162851383,1.82976224975382e-05,0,0,0,0,0,0,0,0.176774255371745,0.0508344958780451,1.42478130677951,0,5.19355814342441e-05,0.298063571230152
0.00115923136923992,0.0142602229719796,0,0.000370782199858862,0.123875619895004,0,0.413630394748307,0.609708278774889,0.581975714668724,5.27247020887389e-07,0.0250401706318825,0.0360180977817016,0,0.0278684620409331,0,0,0.00431015370372063,0.000868895354516149,0.0128539880282044,0.000505287309724581,0,0,0.037504905867092,0.0631232125302061,1.05781158646504e-17,6.30783084360583e-18,0,0.15988617665755,0.0278684620409331,1.19168399344361,0,0,0.283761796552554
