Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0,0.119083356773282,0.00164641081910445,0.172000366552802,0,0.248449377183879,0.676840357591131,0.885146099142689,0.0842206049789783,0.0521602780853966,0.0197260698460035,0.0167412274402105,0.00860026433013662,0.0836961708420232,0,0.000383466872512438,0.0212816658345154,7.79371334076217e-05,0.0180925525208014,2.90740814538802e-05,0,0,0,0,0,0,0,0.0922964351721598,1.56198645673382,0,0.119466823645794,0.172000366552802
0,0,0.00587094036212079,0.00236401430074875,0.186120713967621,0,0.567085326563833,0.484807727301364,0.691808759884796,0.0515746897693673,1.22549316990661e-06,0.058082646541736,0.167985279727349,0.0290830723595114,0.0169119412208734,0,0.00450168925957295,0.0560966176719584,0.00303250678027164,0.0155584035195073,2.75780543532068e-08,0,0,0,0,2.90599558403323e-17,5.53874977399901e-18,0,0.0459950135803847,1.17661648718616,0,0.0103726296216937,0.186120713967621
0,0,0.000974000231613275,0.000371463465199354,0.154073357553832,0,0.305263226023652,0.503147881970593,0.58686743196094,0.061481629293559,0.00187907885430609,0.0111220301325311,0,0.00973158933047589,0.0801273387462202,0,0.000156767485065189,0.0139503894409548,0.00205256409838844,0,1.94112555704096e-07,0,0,0,0,6.25023148364853e-19,1.91654220655026e-19,0,0.0898589280766961,1.09001531393153,0,0.00113076771667846,0.154073357553832
0,0,0.0125671822029732,0,0.154442497460038,0.00691031448180961,0,0.436958955708606,1.10726744192884,0.0700549764694493,3.28732466750425e-08,0.113845960297381,0.252014028998346,0.0353475539761209,3.09902234361833e-08,0,0.00899837695311047,0.00254721897901391,0.00201149449422248,0,9.66285555424204e-07,0,0,0,0,0,0,5.07972397535636e-19,0.0353475849663443,1.54422639763744,0.00691031448180961,0.0215655591560836,0.154442497460038
0,0.0888558201211821,0.0020421052791947,0.000807468872138275,0.220758068150079,0,0.50304707773916,0.62064057127869,0.846414658558608,0.0735519427556407,0,0.019052780143899,0,0.0122622729810132,0.101350964928507,0,0.00210590966653975,0.0145891881853653,0.00158436708752339,0.0136654546688516,1.33656789228372e-06,0,0,0,0,0,0,9.80623589067238e-18,0.11361323790952,1.4670552298373,0,0.00414801494573445,0.220758068150079
0,0,0.00575380367295085,0.00143764626665647,0.201356061947204,0.0021419593660269,0.0452251195272033,0.682375338746645,0.985136911777956,0.0271631762900718,0,0.0889943389017019,0.223976563615103,0.0298742340732353,0.259705732175433,0.00937934420285715,0.000601204825765034,0.025736894905452,0.0125622822186574,0.0261569365102864,0.000139065542151879,0,0,0,0.00330830942718898,0,0,1.87708190181971e-19,0.289579966248668,1.6675122505246,0.0115213035688841,0.00635500849871588,0.201356061947204
0,0,0,0.000701157098615471,0.188661089136329,0,0.321371336388397,0.572254117234594,0.753372631831826,0.0388729256710648,4.29872519087737e-06,0.0327717590706526,0,0.00100790542172089,0.0321871753494693,0,0,0,0,0.0154830503816014,8.29483874269518e-06,0,0,0,0,2.2819476883647e-18,0,4.88987591200622e-18,0.0331950807711902,1.32562674906642,0,0,0.188661089136329
0.00589269812181646,0.0173731427085233,0.00167697602130175,0,0.204475837592513,0.00340651899405838,0,0.812026205298856,1.34838759791279,0.0299906792057848,0,0.0649821297594145,0.123659300620608,0,0,0,0,0.00228721140260957,0.00348934240729677,0.0349649607677661,2.76189615997234e-06,0,0,0,0,0,0,0,0,2.16041380321164,0.00340651899405838,0.00167697602130175,0.204475837592513
0,0.0101381932816939,0.000458404219024386,0,0.169137026777792,0,0.351281351482803,0.663830627737979,0.721165011505367,0.0194553345333956,0,0.00861903990172702,0.0516666914917492,0,0,0,0,0,0.000265578653799524,0.00340436834894079,6.12012324515698e-05,0,0,0,0,3.12385668402488e-18,1.76113127563709e-17,4.0701996992193e-18,0,1.38499563924335,0,0.000458404219024386,0.169137026777792
0,0.0147490455948208,7.11427919689278e-05,0,0.161820657400932,0,0.290771397629571,0.573346243951104,0.504074152283549,0.0189386899042545,0,0.0343469654731852,0.0639639334990906,0.00546825291137188,0,0,0,0.00621393122385478,0.0434268355963878,0.024810050726141,8.54057205731697e-06,0,0,0,0,7.76577388716383e-18,7.55968847203083e-18,0,0.00546825291137188,1.07742039623465,0,7.11427919689278e-05,0.161820657400932
0,0.0249583422541064,0.0135675303252462,0,0.178341592903792,7.2453968503714e-05,0.400435921031252,0.764861704779042,0.333695758348544,0.0342574342833854,5.14680170121597e-06,0.206760625974464,0.00578005473320282,6.96190394176316e-10,0,0,0.000903436282047556,0.00223341554286516,0.00787927384379357,0.214162157583133,1.16965758095225e-05,0,0.000511961849064564,0,0,1.09582896406505e-18,6.32815083511574e-20,1.49091029616052e-20,6.96190394176316e-10,1.09855746312759,7.2453968503714e-05,0.0144709666072938,0.178341592903792
