Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,0.00644731693052805,0,0.00067077037140728,0.337305874150811,0,0.472390646711198,0.62733436141657,0.751089635358683,0.160799234723359,1.24491063556164e-06,0.0152270447821525,0,0.00215350769450924,0.062674208483994,0,0,0.00458681399407162,0.000159074558272891,0.00826968796506665,6.24505462297267e-05,0,0,0,0,2.25565692206594e-18,2.62309743830338e-17,0,0.0648277161785032,1.37842399677525,0,0
0,0.0137817440688378,0.000396115544249369,0,0.214023112373184,0.00021769503796024,0.372386887003751,0.663696411425748,0.845475832553621,0.0840327161893728,1.20188444021965e-06,0,0,0.0178146171491218,0.140247684891275,0,0,0.0155459885549048,8.05355401937897e-06,0.00273306901085795,3.80539139105571e-05,0,0,0,0,1.79919616464283e-18,8.47744057751211e-18,1.9440658938888e-18,0.158062302040397,1.50917224397937,0.00021769503796024,0.000396115544249369
0,0.00158474760155119,0.00101461724417354,0,0.215597659667865,0.00355919796488494,0.123375708896664,0.65965117786534,0.915969086599589,0.110911253662277,5.98706811941038e-07,0.00429463700221817,0.0419291079209707,0.0106927749932571,0.00598838433916012,0,0.00032041056569362,0.0129276352798129,0,0.00447405569038087,4.00767795416897e-05,0,0,0,0,0,0,0,0.0166811593324172,1.57562026446493,0.00355919796488494,0.00133502780986716
0,0.00188050705805568,0.000241210513502887,0.000468746579104907,0.189772999519327,0.00524674013834042,0.201630723367471,0.60656066030139,0.812327036897906,0.0899822857320342,0,0.00927063374424196,0.0501133578784896,0.00495594292497408,0,0.000470578752715318,0,0.0081152820586647,0.00024685519219217,0.0107581637553853,0.000150781814051146,0,0,0,0,0,0,0,0.00495594292497408,1.4188876971993,0.00571731889105573,0.000241210513502887
0,0.0228062178208121,0.00302533803090145,0,0.224239815260178,0.000346244224700023,0,0.704306384910812,0.998469190210018,0.144507242785899,5.16863757166434e-08,0.038145361711193,0,0.0038756379266303,0.0174561094075321,0,0.000301513151624629,0.0309065490017334,0.000814074122583435,0.0104252144125696,0.000160566893524903,0,0.00083703552889512,0.00459848158450255,0.0025543928469328,1.09377626507903e-18,0,0,0.0213317473341624,1.70277557512083,0.000346244224700023,0.00332685118252608
0,0.072216873374354,0.00704187003422186,0,0.194334698683896,0.0023256639474249,0,0.539847603475406,1.04000672718948,0.15599483316394,1.74077753561584e-07,0.0050285830263322,0.0252369706792046,0.0168029162418069,0,0,0.00972432671928352,0,0,0,5.33635826064976e-05,0,0,0,0,0,4.48696620669484e-18,0,0.0168029162418069,1.57985433066489,0.0023256639474249,0.0167661967535054
0,0.00788030727187485,0,0,0.165306494708088,0.00215221250999414,0.378823532071184,0.701943718196369,0.835005337142081,0.0449442404818488,2.46335077771329e-07,0.0126062785886554,0.0735801864943522,0.00353447053674554,0.0256398053978994,0,0,0,0.000454184581215586,0.00780537778624717,8.89853866797221e-05,0,0,0,0.00655284073763014,2.42966194876821e-19,1.98894267015402e-18,0,0.0291742759346449,1.53694905533845,0.00215221250999414,0
0,0.0100105017249476,0,0.000643669264921507,0.194409240746533,0.00769801708323284,0.300771096396449,0.766873043117417,0.824746573837113,0.0429597502721453,2.41346883602443e-07,0.0226249458995929,0.077154326011192,0.0291638765648552,0.054120978858797,0.0067325530692648,0,0.00721390905836489,0.00220489750371273,0.0571400453918399,0.000181809533019122,0,0,0,0,1.3102415154675e-18,0,7.48242721759974e-19,0.0832848554236522,1.59161961695453,0.0144305701524976,0
0.0259147492154538,0.140676927697978,0.00052247481770149,0.000629294954400646,0.175662848429147,0,0.304708830338357,0.925164900784651,0.463643114009383,0.0425189812982121,6.29768629514007e-07,0.121351979915938,0.165160831329848,0,0,0,0,0,0.0085601497007657,0.01811960229968,1.40341790692764e-05,0,0,0,0,0,6.63346864151221e-18,0,0,1.38880801479403,0,0.00052247481770149
0,0.000174627997674825,0.00146852894786341,0,0.216454524826331,0.0179883908503143,0.0960936314979725,0.687120721449956,0.967997354608519,0.127509658571775,3.93446773066338e-07,0.0297080511018555,0.133922619319318,0.00350805150577662,0,0.00637655902304314,0,0,0,0,1.19874047843812e-05,0,0,0,0,0,3.86923867224945e-18,0,0.00350805150577662,1.65511807605848,0.0243649498733574,0.00146852894786341
