Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0.00233602065693494,0.00189702722213268,0.000765695569696704,0,0.220510376358302,0.00307070370399124,0.275693906146755,0.313811198590121,1.29607799641386,0.0170623610564438,2.19342544717049e-08,0.00363859361131423,0.160046123215418,1.26323417914146,0.103727392864208,0.00181746429402671,0.000605526777768148,0.00184706985138214,0.0205674445061525,0.00471318840737195,0.152495384429237,0.00532397376163384,0,0,0,2.00723701445858e-19,0,2.10036533272042e-18,1.36696157200567,1.60988919500398,0.00488816799801794,0.00137122234746485,0.373005760787539
0.00204925404652579,0.00353263222547436,0.0579951003979344,0.0272881552955878,0.201937234105446,0.00287896284908956,0.353242468272711,0.47826988214191,1.43063723415015,0.00921973891671349,1.51781514316287e-08,0.00477922124645525,0.190693197466901,1.78123868661867,0.129235422361621,0.00257494063588733,0.000582129906281787,0.00173874095991607,5.4090008723632e-05,0.00157391969138111,0.195326092867035,0,0,0,0,0,0,8.48600781454927e-19,1.91047410898029,1.90890711629206,0.00545390348497689,0.0585772303042161,0.397263326972482
0.0024722766671202,0.00078604589487043,0.000490492505274599,0,0.190553104303575,0.00460093624565972,0.435943388808762,0.587874255635506,1.54783141505547,0,3.74178610695369e-08,0.00513089854602367,0.330722451544698,1.67753155858984,0.0823163852341394,0.00319316325893507,0.000536009593897674,0.00519133809999705,0.000524036649601118,0.0116878647887898,0.263774146715438,0,0,0,0.0116601311852586,0,7.8282464826668e-17,3.67421526296165e-17,1.75984794382398,2.13570567069097,0.00779409950459479,0.00102650209917227,0.454327251019013
0.00350611084563339,0.00794021909463772,0.0129127271498289,1.53655167875518e-05,0.158995188012082,0.00158618554360651,0.354534661251175,0.473942876221134,1.2127944628528,0.025576410640832,2.03289589344031e-07,0.00248929561766696,0.24302077959966,1.26343859736442,0.110933070178319,0.000785297700906892,0.0211117684468287,0.0036093258151494,0.023906673903152,0.00203027785093609,0.152226992578408,0,0,0,0,0,0,0,1.37437166754274,1.68673733907393,0.0023714832445134,0.0340244955966576,0.31122218059049
0,0.0217687570505462,0.000223750152232109,0.000440130316558856,0.174767287299916,0.00252165892576752,0.209744766194717,0.266325773673719,1.02562578062165,0.0779877376080102,1.27777047379246e-09,0.0116276344584131,0.0808920388833293,1.51255441584808,0.126596205310678,0.0128972715137538,0.000661166904441022,0.00464995300511875,0.000125941256808366,0.00261263543255661,0.192804587600673,0,0,0,0,1.28398372402816e-17,0,1.98848131417673e-17,1.63915062115876,1.29195155429537,0.0154189304395213,0.000884917056673131,0.367571874900588
0,0.00337451044710103,0.000180125740240567,0.000445223756784217,0.194894657936692,0.00428650833963916,0.273287788773895,0.340107630013848,1.02267952211119,0.0871524839077189,1.96007382696721e-11,0.00190662300217693,0.00794946062859281,1.46114874057774,0.181402655511203,0.00245762753810779,0.000733837184306938,0.00534712383958994,0.00185411566695186,0.00844041884122693,0.191293271125418,0,0,0,0,0,2.49510004986855e-18,6.45257720229523e-19,1.64255139608894,1.36278715212503,0.00674413587774695,0.000913962924547504,0.38618792906211
0,0.00198877433904851,0.000109968547917634,0.0021526586103876,0.142609649333527,0.00294915919988867,0.218758129691638,0.311038853033998,1.03990819261845,0.0919404019419033,3.93128885424535e-11,0.00360377927567168,0.0360200013931677,1.37967418589199,0.235162098222812,0.00198382473260481,0.000546235884070574,0.0050038861618738,0.0154418461527521,0.011021028326269,0.157147425748758,0,0,0,0.00409490010587269,4.5520653364398e-17,1.1219227723513e-18,6.79449447663299e-18,1.6148362841148,1.35094704565245,0.00493298393249348,0.000656204431988208,0.299757075082285
0,0.0332785980877355,0.000495399844927152,0.010964790204729,0.147406221598359,0.00306689443195824,0.226404886516857,0.273747854816018,1.23861657297823,0.0840613537190047,0,0.00238298107838289,0.0327342096311616,1.63478544811645,0.193714146971975,0.00142661140951194,0.000677653313095428,0.0274439683149267,0.000168981393385229,0.00280971130013862,0.211284150604276,0,0,0.00841313471137688,0.00113997664741226,0,0,0,1.82849959508843,1.51236442779424,0.00449350584147018,0.00117305315802258,0.358690372202635
0,0.00367493135804507,0.000309999334840116,0.000333697749091062,0.175216480141931,0.00278485122298523,0.214564628954493,0.221928330968557,0.988397049868886,0.0330003281518542,0.00123831382341345,0.00301828951852581,0.00418817472200494,1.51703764432592,0.217345877110423,0.00604012917114255,0.000706245748360869,0.00518660887984161,1.40974277305529e-05,0.0125154800000765,0.184469991319067,0,0,0,0,3.20115885992553e-17,7.95108033900523e-18,0,1.73438352143634,1.21032538083744,0.00882498039412778,0.00101624508320099,0.359686471460999
0,0.0199398470993913,9.89212010042165e-05,0.000485404057121356,0.205605224613946,0.001930880826707,0.245748191864331,0.292498607982148,1.10352803701825,0.0578216450478972,0,0.00418913023629781,0,1.57500765664401,0.19936372022767,0.00105861255512806,0.000382081257014977,0.00477327882739553,0.009903163886687,0.00418335573637504,0.145365051137426,0,0,0,0,0,4.33380247839403e-18,0,1.77437137687168,1.3960266450004,0.00298949338183506,0.000481002458019193,0.350970275751372
0,0.00529773656078765,0.000336886057383337,0.0355529711897728,0.129191758742923,0.00172738691859129,0.226548622449521,0.277291399554506,1.03583513714291,0.0690252433909719,0.0540362206812982,0.00621638494434536,0.0634385723947194,1.62263467254809,0.169550399776827,0.000356761464610464,0.00062894988790006,0.00664425445033388,0.000177064814831278,0.0451438039397909,0.193643756011418,0.0105594375320376,0,0,0,1.36553079885976e-18,0,3.2507676372014e-19,1.79218507232492,1.31312653669742,0.00208414838320175,0.000965835945283397,0.322835514754342
0,0.0143717955792781,0.000603188537433443,5.30064784162855e-05,0.0930229759714508,0.000768074620070545,0.149441128477695,0.136472685043309,1.04488269950074,0.0492390802467145,1.4995354970269e-08,0.00454639112308205,0.0266324668290421,1.42564171815204,0.241018539893559,0,0.00111460000351961,0.00477885090155085,8.85948960235263e-05,0.00227728150018338,0.194679755210866,0,0,0,0,6.41258239979582e-19,0,0,1.6666602580456,1.18135538454405,0.000768074620070545,0.00171778854095306,0.287702731182317
0,0.00344603600062009,6.84485272858097e-05,0.000279205333181704,0.178622531464635,0.00272767934879717,0.262246082468811,0.310216489389006,1.11534804780151,0.0277141538393326,0.0122773023842567,0.00381007617490853,0.0573307906812557,1.28879501623526,0.126458869467937,0.00156312553699401,0.000491647605315959,0.00460541751140074,0.000102068513951532,0.00279977528704291,0.129955338931085,0,0,0,0,3.75124382367839e-18,2.66128803970418e-18,1.06487050326647e-18,1.4152538857032,1.42556453719051,0.00429080488579118,0.000560096132601768,0.308577870395719
