Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.00553659130702283,0,0.00968027368359684,0.137642669826551,0.0143334415595782,0.253710471491193,0.217047932399793,1.34137468007588,4.5784418520996e-09,0.0062373599856712,0,1.55066438720648,0.152735403982129,0.00084315570827688,0.00446632365557123,0.0210577253348931,0,7.33517714183961e-07,0.293681347234514,0,0,0.00123729645344966,0,0,8.35141623974852e-18,0,1.70339979118861,1.55842261247567,0.0151765972678551,0.00446632365557123,0.137642669826551
0,0.00388717743454047,0.000157179472567784,3.75509063558084e-05,0.160851167590243,0.00272158610722264,0.310086362794854,0.190679612936631,1.40291934422511,6.38893552528347e-09,0.00540660156643628,0,1.76124184205583,0.0956030324894929,0.0020317676252185,5.47276430568078e-06,6.24922558206235e-05,0.010861309864195,0,0.295469466742991,0,0,0,0,7.65449930599598e-19,1.65701970874879e-18,3.37858872451788e-18,1.85684487454533,1.59359895716174,0.00475335373244114,0.000162652236873464,0.160851167590243
0.000898327207512394,0.00969595594223228,0.0239460005315766,0,0.142446218900195,0.00114856044294523,0.184836774891976,0.0941889243647314,1.31121246265725,1.3935820011397e-09,0.00238082489084834,0.0707970788327476,1.44640323543348,0.195985071966384,0.000883093617018935,0,0.0189410676171877,0,0,0.220066826925368,0.019438511718789,0,0.0187883658124007,0.0217495488078439,0,8.42627216064692e-18,0,1.64238830739986,1.40540138702199,0.00203165405996417,0.0239460005315766,0.142446218900195
4.21001969492129e-07,0.00974618874469445,5.65518878442905e-05,0,0.149515861996361,0.000846493060372671,0.27267420971541,0.264584046479756,1.33023923992895,2.21445698844677e-09,0.00543911395543298,0,1.49569391559071,0.116042705955599,0.000568174691339902,0,1.94149019403202e-05,0.00230740903422285,5.45220979530694e-05,0.263164850352491,0.00339667474084582,0,0,0,0,1.005895111645e-18,3.0968881098863e-18,1.61173662154631,1.59482328640871,0.00141466775171257,5.65518878442905e-05,0.149515861996361
0,0.0167666124127207,0.0460949553188408,0.00781654449658257,0.208014904916136,0.000714754095431932,0.324680532994098,0.338267485249841,1.42805304563714,0.0266601021437581,0.00566101082921936,0,1.81467732848352,0.119309136364902,0.000307273468671526,0.0193177846152827,4.96783060751022e-05,7.96863532522861e-07,3.21286735046052e-07,0.279821686035948,0,0,0,0,0,2.58975934203738e-18,2.02366873352848e-18,1.93398646484842,1.76632053088698,0.00102202756410346,0.0654127399341236,0.208014904916136
0.00149185222369315,0.0615776090174522,8.74390858751891e-05,0.00015513647590162,0.206940917228935,0.000283830400038525,0.243961791563731,0.350486590021673,1.73890445002531,1.62547352128221e-07,0.00598649929231768,0.0012589822272511,1.58930568644328,0.1951842669038,0.0431164644201972,3.14406831458807e-05,0.000746047362774823,6.81859007763081e-05,0.00127947908866691,0.318877003718364,0,0,0,0,0,6.58095961332335e-18,5.76828209694103e-17,1.78448995334708,2.08939104004698,0.0434002948202358,0.00011887976902107,0.206940917228935
0.00140695424268545,0.00965630618041391,0,0.000416840823657905,0.207332111383135,0,0.288495317815503,0.174080486896928,1.66225955288202,3.05694958291905e-10,0.00388471496199218,0.0157195106178391,1.56711840555165,0.117669915067952,0,0,6.37934493518142e-05,0,0.00068981346549252,0.281733042767776,0,0,0.00817288054510732,0,2.88142109307435e-17,0,0,1.68478832061961,1.83634003977895,0,0,0.207332111383135
0.00103846091921174,0.0550240602159179,0.000268484274153395,0,0.254949708291527,0.0041455202353947,0.268137875486968,0.167056300076304,1.89530543517007,0.0515317808880458,0.00444093366340783,0.0440601268258266,1.70388169925951,0.141574598229976,0.00362487334268284,5.87167057906671e-06,0.000117914464266387,4.96125058143198e-05,0.000213782562123921,0.313142344843345,0.0209885591993365,0.0230869334906156,0,0.0331333369786288,0,4.41653757197479e-17,0,1.84545629748948,2.06236173524637,0.00777039357807754,0.000274355944732462,0.254949708291527
0.00193266067091869,0.00684984032479388,0.000105596712789598,0,0.191431435483485,0.00396425594498193,0.264277976234634,0.290042951107949,1.68794226780343,0.00924089763409978,0,0.0117065512308492,1.56691218407695,0.16174118501625,0.00858629633673499,1.35286326477997e-05,9.88689454821486e-05,0,0.000204789829675848,0.307566658366938,0.0108940471144968,0,0,0,3.30910491021478e-17,1.44802037495353e-17,4.77760034310724e-18,1.7286533690932,1.97798521891138,0.0125505522817169,0.000119125345437398,0.191431435483485
0.000898658108650293,0.00764496237098421,1.06410028221485e-05,0,0.152935007061277,0.0162814847349741,0.207533811160576,0.18261796090831,1.45703397911811,3.64919862597646e-08,0.00299077285407418,0.0103907614435203,1.40157135570437,0.126997137044421,0.00245286338070708,0,0,8.33084264173488e-06,3.26879554805161e-05,0.308583365419323,0.0134385088239706,0,0,0,4.54835821271546e-18,0,0,1.52856849274879,1.63965194002642,0.0187343481156811,1.06410028221485e-05,0.152935007061277
0.0118348194481069,0.00730190159170012,0.000245121110695233,0.0332001392667954,0.170275600985895,0.00229593377968625,0.233845122177795,0.216751846968024,1.45400446844946,4.18612021441594e-08,0.0102193137402886,0.0673478773573147,1.2944557309465,0.117151391688084,0.00758043781618371,1.19796511637856e-05,0,0,0.000234002760836603,0.275995758268575,0.0062432661865382,0,0.000488522830028303,0,9.21949053682791e-20,0,5.96061909987013e-18,1.41160712263458,1.67075631541748,0.00987637159586995,0.000257100761859018,0.170275600985895
0.0330060591630764,0.0105935367368288,0.000165456207660644,0,0.195791533762056,0.0253715971176649,0.237024656030133,0.231484120322618,1.56923157734302,8.00878432317124e-09,0.0445162650137537,0.0514181263567302,1.72967002258958,0.12945179171691,0.002913717404424,0.028160503232898,0,0.0310651015449938,2.5470970777632e-06,0.307986125807017,0,0,0,0,0,1.48852246628572e-17,1.27251697001979e-17,1.85912181430649,1.80071569766564,0.0282853145220889,0.0283259594405587,0.195791533762056
