Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.00346556885369604,8.88478583753463e-05,0.000526303813639723,0.148613197666171,0.00200278862573686,0.232747105616541,0.131266320134293,1.25672182556013,0.0204351559036053,2.81292472628438e-07,0.00694654951641655,6.83299397663549e-08,1.4467248707771,0.156491538780319,0.000842425334038624,0.0121452846018114,0.0034913645357231,0,0.00106286394512343,6.09030123254907e-05,0,0,0,0,0,0,6.20030648910377e-19,1.60321640955742,1.38798814569442,0.00284521395977549,0.0122341324601867,0.148613197666171
0,0.0141545170305629,0.0230725313267568,0.000298077723539666,0.163429479744972,0.00879420843639704,0.279996187994261,0.083218680224555,1.50256592374751,0,1.95465770497029e-08,0.00647444856612373,0.0136672397886491,1.7213925124629,0.052624319269998,0.00296650061472682,0.000829201203434952,0.0046678630715308,0,0,6.58984677218736e-06,0,0,0.000119280114712739,0,0,1.61649710460156e-18,0,1.7740168317329,1.58578460397206,0.0117607090511239,0.0239017325301917,0.163429479744972
0,0.00536001023097407,0.0002281674769451,0.000231601135573297,0.167553608090464,0.000842579575379425,0.142577982433599,0.026311687370261,1.11573759500799,0,0.00481145231927104,0.00489163114992693,0,1.37726477962847,0.188226867396714,0,0.000363514761699087,0.00521025592748528,0.00889885816536826,4.08499006920616e-05,4.98718946761619e-05,0,0.000450847991558297,0,0,0,1.72743515230349e-18,7.64292417690965e-19,1.56549164702519,1.14204928237825,0.000842579575379425,0.000591682238644186,0.167553608090464
3.27716673911023e-05,0.0108293157449133,0.000311708098150819,0.000109309488542491,0.170049868014744,0,0.264186929756179,0.163213158302161,1.25535181259506,0,1.36238977157575e-07,0.0105507438384627,0.0115232137763084,1.42665388636062,0.130389566831618,0.00316860411515102,0.000460374889265228,0.00260886364032158,0.000306829266538344,0.00404748429003669,0.00613420155314822,0.000342485773612735,0,0,0,0,1.94234326909191e-18,0,1.55704345319224,1.41856497089722,0.00316860411515102,0.000772082987416047,0.170049868014744
0,0.00873391076658976,0.00313718395466841,0.000310169406138075,0.166229724369181,6.10404404432612e-05,0.277326453072223,0.21974292242596,1.3571058274595,0.0125657246415768,6.03275497909837e-08,0.00536977327598828,0,1.70360379003243,0.119683504653539,0,0.000635973924468458,0.0045158762366825,0.000114473911833167,0.00152505181521261,9.22747225802375e-05,0,0.000891699921277395,0.00209137217641787,0.00167680816640022,0,7.71088767346658e-19,3.20640420972882e-18,1.82328729468597,1.57684874988546,6.10404404432612e-05,0.00377315787913686,0.166229724369181
0.000856785029703929,0.00116012776801248,0.000219888213254029,0.000162980762742238,0.188193507451512,0.00148235239420556,0.171234573627063,0.070631876184864,1.21434264321267,0,5.0113376362533e-07,0.0311619298982815,0.00143405124688065,1.52125090034351,0.169330765862179,0.000169538169027128,0.000647494291453995,0.00345208745047619,0.000428532671612428,0.00389991708540243,2.65431707252711e-06,0,0,0,0,0,0,1.0100642267718e-18,1.69058166620568,1.28497451939753,0.00165189056323269,0.000867382504708024,0.188193507451512
1.59958686463723e-05,0.0210258849099752,0,0.000548898722191003,0.166730682489065,0.000904169550727051,0.222091943416473,0.0853393935210521,1.18361099276955,0.0301089837211982,5.99244130094872e-07,0.00983555531376084,0.000356355626557182,1.44856842495986,0.0982278169642754,0.00342182347367584,4.63227775484926e-06,0.00284530523615974,2.75029013256074e-06,0.00242215869521241,2.73764839442496e-06,0,0,0,0,0,0,0,1.54679624192414,1.26895038629061,0.00432599302440289,4.63227775484926e-06,0.166730682489065
0,0.0175707952795107,7.64325795272636e-06,0.000341612413664639,0.225994211620973,0.00128391442891314,0.216916529663961,0.102892796770231,1.46319389817212,0,0.0124190467055834,0.0124208965992502,0.00651650389573533,1.61325151743042,0.23871491037361,0,0.00495555328996836,0.00509785578301862,0.0135470639353864,0.00432166831263739,2.30083062980849e-05,0.0028037951780802,0,0,0,1.23195802483636e-18,5.96134819356637e-19,0,1.85196642780403,1.56608669494236,0.00128391442891314,0.00496319654792108,0.225994211620973
5.01561775953939e-06,0,6.06234443534802e-05,0.00026053310579057,0.156200608705049,0.000363165395668941,0.223519000871999,0.0249888631624634,1.26233408951473,0,3.7569525323894e-07,0.00539348683228034,0.00959413471686331,1.412502701843,0.142161628292858,0,0.000404743595786098,0.00325686696720559,0.000153581470958438,0.00242443372638105,5.19954614173253e-05,0.00450284009415691,0.00292717431327249,0,0,8.00672200244955e-19,1.4188289067977e-18,0,1.55466433013586,1.28732295267719,0.000363165395668941,0.000465367040139578,0.156200608705049
0.000187790642626117,0.00355781164445518,0.00616382249911493,0.00833525826016369,0.159522008435862,0.00258623289229335,0.177511672098045,0.0361784656378502,1.12724348113883,0.000106048652884029,0.00422393882013427,0.0166700865471956,0.00338462799244336,1.36682860077609,0.140397870973805,0.00173703416731394,0.00105037516215354,0.00350426028094709,0.000356111508919438,0.00355670146694255,3.99314391291714e-06,5.71389124973429e-05,0,0,0,4.03250056364253e-19,0,4.54604119718687e-18,1.50722647174989,1.16342194677668,0.00432326705960729,0.00721419766126846,0.159522008435862
0,0.000420370289113975,0.000319440168112552,0.000150510690879974,0.165123216106447,0.00346867720282291,0.174482164262381,0.0473862162575,1.10742085386559,0,0.00887352653407504,0.00698403940518555,0.0156736890005571,1.2245373160021,0.115857691147648,0.00397634218362466,0.000397874789704011,0.0015679259395984,9.89028290368533e-05,0.00365562321239467,2.46616758753226e-05,0,0,0.000263274076939462,0.00069958608879134,2.02947296968925e-19,1.35484478830851e-19,0,1.34039500714975,1.15480707012309,0.00744501938644757,0.000717314957816563,0.165123216106447
0,0.00740316648606403,0.000297119348149982,0.00019820457107209,0.199604672962803,0.00354115886483878,0.155502141882211,0.048309807679674,1.32329847706966,0,0.00735900408059328,0.0154126027006593,0,1.61663049668811,0.199888123158138,0.00220597483163201,0.000262026566031825,0.00273097713872711,5.14300466404065e-05,0.0013156347814176,0.010119259195103,0,0.00214066501050373,0,0,0,3.50134363893636e-18,9.49299194626804e-19,1.81651861984625,1.37160828474933,0.00574713369647078,0.000559145914181806,0.199604672962803
0.0073770465623008,0.00351630181500448,0,0.00238218569198289,0.196103775032563,0.00158969459684311,0.213150756847446,0.0779279667897565,1.15738084794246,0,7.93995054202383e-07,0.0365318191534048,0.00404786397383968,1.52693764561457,0.194897456212528,0.000551400832208242,0.00270374294417378,0.00265210573260412,0.000733644244640476,0.0133176654505761,8.12137505766066e-05,0,0,0,0,0,0,8.92659976852216e-19,1.7218351018271,1.23530881473222,0.00214109542905135,0.00270374294417378,0.196103775032563
