Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
3.44863070148025e-06,0.00106931735289649,0,0.000374103260369895,0.196586550020884,0.00852808295895501,0.24727669276165,0.0894992388569698,1.41975632899079,2.73735340165838e-07,0.00813992038125964,0.00053922048291453,1.36957961359176,0.152584023892034,0.00295433859994496,0,0,2.89353361374131e-05,0,0.00069140723009133,0.072757135860918,0,0,0,1.06915423121356e-17,1.28245371860574e-17,0,1.5221636374838,1.50925556784776,0.0114824215589,0
0.000287879856908831,0.00102185363719975,0,0.000250221709040841,0.196559128941773,0.00515491537032552,0.305100110504001,0.0877076641655968,1.48992917565059,2.8591187637001e-08,0.00603204835376056,0.023502519065339,1.69540652507451,0.0644328951032285,0.00446980925588985,0,0,2.52147360886127e-05,0,8.53896016095008e-05,1.5652803873304e-05,0,0,0.000937368751749003,2.59095689447294e-18,3.17603276029974e-19,0,1.75983942017774,1.57763683981619,0.00962472462621537,0
0.0194316452899979,0.00022530378192285,0,0.000164430608449173,0.220212173833905,0.00327048742408871,0.16717180033427,0.0262231063067204,1.17042009431117,1.47073584476639e-07,0.00651416893907825,0,1.39285635831643,0.160743606073525,0.00290389127927847,0,0,8.71309388080851e-05,0,5.23669529043525e-05,0,0,0,0,6.37313211251524e-19,0,0,1.55359996438995,1.19664320061789,0.00617437870336718,0
0.00043548282385558,0.00633531146481136,0.0104807949180382,7.02680909026154e-05,0.208945939015373,0,0.25240029770818,0.118692488271827,1.30650073247565,1.76169928073761e-08,0.0116160048868337,0.0108876536908011,1.46027934207944,0.155495131852949,0,0,0,0.000322302538881734,0.0096405719343478,5.05556159734131e-05,0.00105062107013427,0,0,0,8.69801391579063e-19,0,0,1.61577447393239,1.42519322074747,0,0.0104807949180382
0,0.00240730830595598,0,0.000227363377444168,0.200018316642731,0.00283620470206505,0.282383615003189,0.174992054996596,1.47692257141685,7.14671358309997e-09,0.0066932250709126,0,1.75667682967005,0.1035695127678,0.0021218321255043,0,0,0.000134444411851105,0,5.83974684779762e-05,0,0,0,0,3.73140859722377e-18,6.08713745478804e-18,3.36111145590949e-18,1.86024634243785,1.65191462641345,0.00495803682756935,0
0.000990302356108899,0,0,0.000138776379434579,0.283834027734355,0.00312047642481485,0.217669935584145,0.0996835301928246,1.33836352736765,4.52981308760516e-07,0.0147544113152762,0.00205664780516704,1.56678072928027,0.16452902678146,0.00242762161899236,0.00550413103416031,0.0236223366884799,0.00502984278486474,0.000494940637898519,0.0337037787167329,0,0.000479617141764952,0,0,1.80407627041976e-18,0,3.7707478161398e-18,1.73130975606173,1.43804705756047,0.0055480980438072,0.00550413103416031
0.000866568685608346,0,0,0.000438884710741334,0.213886199120111,0.00250018916451607,0.234061023224399,0.0815026786532612,1.23615314495295,4.0961713298786e-07,0.0102541995920484,0.00389579569777392,1.49732073532883,0.0733080899793589,0.00191204635903281,0,0,5.22305574861226e-05,0,9.47806226439297e-06,0.00708802896525847,4.12632104580521e-05,0.00191982195610906,0,0,1.87761419724359e-18,0,1.57062882530819,1.31765582360621,0.00441223552354887,0
0,0.0161834090156205,0,0.000243771720364254,0.294529362313106,0.00252167832585566,0.211145061470862,0.0181893506735253,1.45363055775075,8.51074660957795e-07,0.0131271291370208,0.00983367680931008,1.6062339973162,0.227056862267519,0.00186257230328547,0,0,0.0116653729971806,0.0221346925487537,0.000227176180010905,0,0.00427331757274276,0.00358998231760526,0,2.96387943746394e-18,0,8.52580913833456e-19,1.83329085958371,1.47181990842427,0.00438425062914113,0
0.000600896492910934,0,0,0.00616752126861823,0.252420694562771,0.00212811728576797,0.253644744376919,0.065027992929552,1.30327979447846,2.85909144891529e-07,0.0124668868338491,0.0137385682924745,1.48829759803111,0.156284873643812,0.00191263886165233,0.0112663573439687,0,0.0089395048712615,0,5.72375563077752e-05,0.00463028448748021,0.00749783516479372,0.00205055389623726,0.00686217859955065,0,1.31929115871734e-18,0,1.64458247167492,1.36830778740801,0.0040407561474203,0.0112663573439687
8.77748238194142e-05,3.20290752676456e-05,0,7.48010756629021e-05,0.18891956498291,0.0354188591920821,0.196442794465501,0.0853630000201249,1.13823425125301,7.05072856995353e-08,0.00882418899980329,0.0122646476139381,1.36310902766753,0.160445359468545,0.00306404040305761,0,0,0.0185996359264122,0.000132955304879905,4.74709438809402e-06,0,1.29523194423644e-05,0.000150111734445212,0,0,1.01146753424782e-19,9.54021904599916e-19,1.52355438713607,1.22359725127314,0.0384828995951397,0
