Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0.00733351271479231,0.128048632286829,0.00447265741012305,0,0.167783269064945,0.0346546915913762,0.266132820589982,0.569551722940746,0.690093308670231,6.34327385924045e-06,0.0947817107087583,0.439521172819258,0,0.0246522686237323,0.0340331529983646,0.000805324906414969,0,0,0.00184963045131874,0.000194640956800534,0.000121033468157336,0,0.000357154677808475,0,3.16043319207707e-18,9.22284639655023e-19,0,0.0246522686237323,1.25964503161098,0.0686878445897408,0.00527798231653802
0.0115411657307774,0.0790336280844501,0,0,0.146923819924208,0,0.0368047882255571,0.734671696750617,0.623210471453245,7.38771154200546e-12,0.0752871884978994,0,0,0.166627512302076,0,0,0.00733856999994566,0.00529571265828434,0.0728038859245929,4.73100662358672e-06,0,0,0,0,0,0,3.28986359032351e-18,0.166627512302076,1.35788216820386,0,0
0,0.0409185146380872,0,0.039124738853519,0.173567079749006,0.0245982269622462,0.650297393118677,0.454444820904759,0.82750912234368,2.04771881183988e-06,0,0.0417647148918622,0.0850368508022365,0.00249435353899414,0.0225592924130801,0,0.00126310228350068,0,0.0203446668966202,0.00022251421090394,0,0,0,0,0,0,0,0.0875312043412306,1.28195394324844,0.0471575193753263,0
0,0.00254017134748387,0,0,0.292057150422969,0.0425643599671987,0.658089944406386,0.209686410340564,1.13535834632348,4.16872821273929e-06,0.10329262922827,0.14676160377246,0.140694989382191,0.00271486363954766,0.0645785757786827,0,0,0,0,0.000186194483923824,0,0,0,0,7.12220124780708e-18,8.45053342220555e-18,3.63291410686433e-18,0.143409853021739,1.34504475666404,0.107142935745881,0
0,0.190882891052301,0,0,0.378765306472206,0,0.340725008753741,0.330486963943304,1.15514410533828,0,0.0648227235254615,0,0,0,0,0,0,0.00845608953013854,0.120765423983781,1.64776599264925e-05,0,0,0,0,3.26246668663783e-17,4.17051326130753e-18,0,0,1.48563106928158,0,0
0,0.0965228875848823,0,0,0.200649688823936,0,0.524853771275591,0.443713055082113,0.980050433509066,4.62280667584314e-06,0.0163273710777112,0,0.0901118982552648,0,0,0,0,0.00517051544117693,0.0315079913330232,0.000798257488232611,0,0,0.00261784540703111,0,1.80059699266915e-19,2.96008077622213e-18,4.56036402254369e-19,0.0901118982552648,1.42376348859118,0,0
0,0.0563311460208128,3.27286973385298e-06,0,0.351293187948568,0,0.556870402708506,0.586143517856096,0.677862637492771,2.50097280973181e-08,0.0210434779104581,0.131152832335256,0.0856489982971724,0,0,0,0,0,0,5.0315331610449e-05,0,0,0,0,1.02243899918326e-17,5.30839582674068e-18,2.33997075642462e-18,0.0856489982971724,1.26400615534887,0,3.27286973385298e-06
0,0.09613589263906,0,0,0.215869806808535,0.00331222759886504,0.651374158725024,0,1.05899729349935,0,0.121129150962796,0.181110634472314,0,0.00119530038031652,0.00206234574129362,0,0,0.00493850833200093,0,8.02073963364496e-05,0,0,0.00502047045089874,0,0,0,3.44009445873965e-18,0.00119530038031652,1.05899729349935,0.00537457334015866,0
0,0.0547446892125069,0,0,0.271339015011792,0,0.673563934496012,0.473084118298696,0.795220307069946,4.97584335446142e-06,0.0105446713756969,0,0.153189298704937,0.0275711149736724,0,0,0,0,0,0.00537547455383271,0,0,0.013617822603407,0,9.12431526065472e-17,0,0,0.18076041367861,1.26830442536864,0,0
0,0.042511018008878,0,0,0.221089200073724,0,0.733901969487332,0.220410900198152,1.08247854523863,1.32282184427144e-05,0,0,0.216216166159677,8.7070900140322e-05,0,0,0,0.00103072671496309,0.0010398443293255,0.0431592254893994,0,0,0,0,2.40273307681234e-18,0,0,0.216303237059817,1.30288944543678,0,0
