Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr
0,3.24452063601157e-05,0,0.000547630788738434,0.199473256166388,0.0142258935726986,0.247982984237668,0.302254314525043,1.0661417033534,0.125203482612628,0.00164833971809913,0.0362232932264119,0.014859120967056,1.47082935398833,0.202227211982257,0.0169233665825087,0,0.0418550863020777,0.0140533524005228,0.00403364759593091,0.330960453086049,0,0,0,0,1.26384156469576e-18,2.21194558461004e-18,0,1.67305656597059,1.36839601787844,0.0311492601552072,0
0,0.000472453082100026,0,0.000499640511061739,0.298409066816623,0.00571028413980469,0.255265372259429,0.200612523164237,1.31459848367941,0.162018901228425,2.7809931576327e-11,0.00526702562180604,0,1.77383909723066,0.135987166378779,0.00424715630376493,0.000232482296075931,0.0070063545401122,0.000299237228615646,0.0382873197755755,0.319264931160589,0,0,0,0,0,0,6.27320103935772e-18,1.90982626360944,1.51521100684365,0.00995744044356962,0.000232482296075931
4.7949699275141e-05,0.000699002154035088,8.2229897701666e-10,0.000191142204432821,0.326563039343989,0.00382487744443634,0.267792716877622,0.338812474497714,1.28978836210981,0.110900592765328,3.67291738427663e-11,0.00333919455063694,0.0810734578727738,1.52391398659474,0.182860043296175,0.00262212110217793,0,0.00634794276058826,0.000290198690813196,0.00459152036525135,0.189934624131295,0,0,0,0,0,0,2.20400187665015e-18,1.70677402989091,1.62860083660753,0.00644699854661427,8.2229897701666e-10
1.85255326211809e-05,0.00240731752860443,4.74747440519498e-07,0.000131285401341149,0.258762079107314,0.00274130558632924,0.338768730102943,0.414212607992965,1.29810300222093,0.0773407249960971,0.00641127492465711,0.00648600748673601,0.0353656534731354,1.53750966665114,0.16173298438335,0.00169849005810029,3.94304263152303e-05,0.00280163801279969,0.000283750369705676,0.0063696250715804,0.273823803650375,0,0,0.00621629005011324,0,0,0,2.47090165095212e-18,1.69924265103449,1.71231561021389,0.00443979564442953,3.99051737557498e-05
0,2.5704803153976e-05,0,0.000535078931004846,0.280963094033726,0.00249915729464255,0.220573782372725,0.267178794049076,1.07551595155085,0.221680087742766,0.00516524698487183,0.00867130031734387,0,1.683919247271,0.188879582289925,0.00164797288428266,0.0108868593001881,0.0231151752123703,0.0108298359668121,0.00419166464471967,0.321538052368092,0.00612070513244809,0,0,0,4.02042607830993e-18,0,0,1.87279882956092,1.34269474559993,0.00414713017892521,0.0108868593001881
0.00147223762483934,0,0,0.000113921624488388,0.267361213589356,0.00301565352208044,0.421845140186198,0.626770145785703,1.48157620628899,0.037088461657755,1.83285056459442e-07,0.0210184968486517,0.0818772252944746,1.61160148120656,0.110449635203043,0.00199419546793855,0,0.00424287182858834,0.000491397538476093,0.01429630570265,0.246822869730326,0.00233043441825853,0,0,0,3.59575359798814e-19,8.35704542740388e-19,0,1.7220511164096,2.10834635207469,0.00500984899001899,0
0.00280488786991523,3.18577773572773e-05,0,0.000365115346503365,0.244219129218293,0.00257827882936083,0.372263779553096,0.450393485801419,1.36033088340423,0.0892037928964866,2.0980479152122e-07,0.00652064787966503,0.0527211981545489,1.4916006233036,0.088050075129784,0.00154256128884866,0,0.0445306647965855,0.000220591766384898,0.00621674979282517,0.249680005061041,0,0,0.0115409632828032,0,4.37596568067101e-18,1.65095338194372e-19,4.63889805857102e-18,1.57965069843338,1.81072436920565,0.00412084011820949,0
0.000562953917991072,0.000404024802781777,4.76129169660174e-06,0,0.323733854853048,0.00806194108815865,0.39093924120669,0.590842438126905,1.77263266975415,0.0504095295467375,6.94170811244768e-08,0.00407738030419315,0.133456413629296,1.79842721211707,0.153381960499625,0.019453384575029,0.0222729366588582,0.00449056031060205,0.000392594122639908,0.00407163602489417,0.243333738822963,0,0,0,0,7.52902505940163e-18,0,2.99969054560083e-18,1.95180917261669,2.36347510788106,0.0275153256631877,0.0222776979505548
0.0216422412742605,0,0,0.010895276271269,0.260450195522222,0.00345393836574697,0.425211666107274,0.492914123330569,1.64431395627631,0.0259106984674995,0.00234692651233831,0,0.100269485826998,1.50610715880139,0.130057531675409,0.0148384362998285,0.0051703898697802,0.00522970748553405,0.000338753057538102,0.00749486552060481,0.208383071140237,0.00918650571322422,0.0021238183895582,0.004532463059775,0.00454090525815008,8.61932580622984e-19,1.78665995671423e-17,8.53590383526766e-18,1.6361646904768,2.13722807960687,0.0182923746655755,0.0051703898697802
0.000667901496617284,4.82603018261254e-05,0,2.8205842768323e-05,0.223829729953978,0.00444722607588591,0.307967403454423,0.395046363595038,1.17722825921732,0.118737789995942,1.81506472050023e-07,0.00391418920055871,0.0671632236894168,1.49145976048509,0.0720235032258656,0.00351240238903504,0,0.0050714085769741,0.000426367829923995,0.00680379556822231,0.268036497924677,0,0.0187125881065391,0.00520460851499151,0,0,4.2750577587936e-18,0,1.56348326371095,1.57227462281236,0.00795962846492094,0
