Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.00788409299364532,0.000256738123944258,0.000141630930350132,0.109687571990683,0.000719767647627969,0.270934958913341,0.175918938341296,1.28151464447984,0,0.00702967240020948,0,1.58168199388296,0.125856027234259,0,0.000293356896824752,0.000905877729025398,1.02472133686107e-05,0.0235231765880323,0.313193922444797,0,0,0,0,2.28742192555567e-17,1.37857237168711e-18,0,1.70753802111722,1.45743358282114,0.000719767647627969,0.00055009502076901,0.42288149443548
0.000817270178851431,0.0146337994575215,0.00608460787588499,4.69133576562853e-05,0.0831525776981621,0.00235705538084975,0.331021015793838,0.161427020071374,1.34158733038148,5.86523743507284e-10,0.00631539872863376,0,1.7647191161657,0.0815973912190619,0.00120302597991989,0.000511603087169543,0.00272364268647491,3.52271582812153e-05,0,0.317576125914702,0,0,0,0,0,0,0,1.84631650738476,1.50301435045285,0.00356008136076965,0.00659621096305454,0.400728703612864
4.23247825071399e-05,0.00840583505631841,0.0255884380477448,0.00714143176826542,0.15192346556889,0.00135694003042399,0.200734173003995,0.19876017657782,1.24126683892902,5.32585032715402e-09,0.00425260728839328,0.055403828556408,1.50711558748023,0.152032980490109,0.028357630651337,0.019488960770554,0.000249819331404851,0,0,0.236944024224789,0.0125038928226073,0.00378947479825764,0.0141872890587665,0.00726145206368511,0,3.61439385611415e-18,0,1.65914856797033,1.44002701550684,0.029714570681761,0.0450773988182988,0.388867489793678
4.88497234954393e-06,0.0119435146667841,0.000478967331772389,0,0.128326015914146,0.0242764699043744,0.29030919439307,0.229917698925515,1.27121145020228,3.70966356818438e-12,0.00603714513336463,0.000531501930075649,1.48643762814809,0.108846949682403,0.0353703656423239,0.00030944116742601,0.000201240862893206,7.10161011148064e-06,0.000370912015099321,0.244512929622683,0,0,0.0109056194084268,0.00545661008047491,4.82545353603226e-19,0,0,1.59528457783049,1.5011291491278,0.0596468355466983,0.000788408499198399,0.372838945536829
0,0.00173943524224907,0.000111741644845647,8.26067268554372e-05,0.121114756658215,0.000624910659387795,0.334356923820398,0.352014371362959,1.40459756727556,0.0137394370101668,0.00625387560241568,0,1.84336812144876,0.12122087867377,0,0.000210455521020648,7.77022194062029e-05,0.016353778178054,0.0166852411445449,0.288074758986718,0,0,0,0,0,2.47820595316413e-18,0,1.96458900012253,1.75661193863852,0.000624910659387795,0.000322197165866295,0.409189515644933
0.00188037700215465,0.0900866245583263,0.000498871008511709,9.67083430483243e-05,0.261077904965831,0,0.258922008757443,0.312447692840417,1.6648784996776,2.20766306416624e-07,0.00715001454526343,0.00119600402314046,1.61472964521873,0.156143982755118,0.0666642122151708,0.00052744708911624,0.00157773580701054,0.000190057401413683,0.00287835506500693,0.282255935875495,0,0.0143994538894234,0.0190540837653718,0.0196558414170209,0,0,0,1.77087362797385,1.97732619251802,0.0666642122151708,0.00102631809762795,0.543333840841326
0.00153809346139241,0.0111434024127829,0,0.000343102514237975,0.196620581307603,0,0.27629722868849,0.218122985851044,1.71806190666547,0.00407624135984187,0.00554851708718127,0.0177954045161718,1.5396236459792,0.130116025307426,0,0,0.00113396381707435,0.0949776295216155,0.00257114288641169,0.259807630027795,0,0.0291226773830111,0.00417369502133017,0.00453119270035337,0,1.33738956432979e-18,8.60014142046385e-19,1.66973967128662,1.93618489251651,0,0,0.456428211335399
0.00128095766887401,0.0135076163734601,0.000812594988047121,0.0182991541039446,0.221077953037317,0.00439207105295952,0.228743056203944,0.225744177905666,1.62623780195639,5.01646043967013e-08,0.00577560377876254,0.0514751193782615,1.6718344482812,0.133944437039059,0.0033161131126413,0.00237453493139888,0.000125319103240377,6.36718966029971e-05,1.84829700320447e-07,0.274347879992161,0,0,0,0,6.6252910273832e-18,0,0,1.80577888532026,1.85198197986206,0.00770818416560083,0.003187129919446,0.495425833029479
0.00213017515734085,0.00979833094555825,0.000587768074670877,0,0.187567435771268,0.000237486939704984,0.285680565643281,0.289570437820325,1.76629304946778,3.11849570804604e-08,0,0.0192505925426481,1.58420843810311,0.166624577150569,0.0308263115739761,0.000471647227398621,0.0010381779024532,0,0.00142656386930614,0.270182658919431,0.0160289317943498,0.0178734650885424,0,0,0,6.28305249192369e-18,1.7039399921665e-17,1.75083301525368,2.05586348728811,0.0310637985136811,0.0010594153020695,0.4577500946907
0.000691103185009574,0.00746411936312259,0.0562685394951395,0,0.0967420850837871,0.0254630722131229,0.213093434032103,0.227887162523103,1.21481743374953,2.54350129085091e-08,0.0035840699738091,0.0128067220762369,1.45280005962588,0.0850727651239487,0.0014679518203213,0.000433277936912395,0.000338490041649132,0.0376202183677798,0.0215875710751369,0.277629277342506,0,0.0193262186631724,0,0,0,7.56182716114142e-17,0,1.53787282474983,1.44270459627264,0.0269310240334442,0.0567018174320519,0.374371362426293
0.00806027551098945,0.0038886821157307,0.000602275438755895,0,0.149746895208292,0.00256349670920301,0.232597213497297,0.257233660625862,1.25347282910775,3.49269486674316e-09,0.00285814974687183,0.0474700633935004,1.31610186993135,0.065179447751349,0.00208534677458839,0.000386987686256425,1.12664403052364e-06,0,1.89151270975188e-05,0.24678957366959,0,0.0583412769140452,0,0,0,5.60067363926734e-18,0,1.3812813176827,1.51070648973361,0.0046488434837914,0.000989263125012319,0.396536468877882
0.000125780520857229,0.0138395674007562,0.000962417155857848,0.059405577147353,0.196657297641673,0.00246498497361472,0.270027784385587,0.298902256298367,1.69393310363366,1.9700988176243e-08,0.00710393667473805,0.053014256707462,1.72506283179772,0.15550911023214,0.00161445087829535,0.000585180336103064,0.0290733280052254,0,0.000505595493739734,0.331114869351707,0.08072669958687,0,0,0,0,8.30002641538453e-18,0,1.88057194202986,1.99283535993203,0.00407943585191007,0.00154759749196091,0.52777216699338
