Asc,Asp,Cr,CrCH2,GABA,GPC,GSH,Gln,Glu,HCar,H2O,Ins,Lac,NAA,NAAG,PCh,PCr,PE,Scyllo,Tau,MM09,MM12,MM14,MM17,MM20,Lip09,Lip13,Lip20,tNAA,Glx,tCho,tCr,GABAplus
0,0.00462054738692189,0.0129578974226757,0.00671390003338002,0.139023868660605,0.00120902463056301,0.277100987792049,0.245310895208031,1.21803617944404,0.0461596430415378,3.28345561625618e-10,0.00938343579091559,0.00159916906408425,1.48466495333876,0.165090200362493,0.00539873094392022,0.000216338946087601,0.000170421949266343,0.00411282113382071,0.000498774113530575,0.286158735385638,0,0,0,0,0,0,1.86982448863499e-19,1.64975515370125,1.46334707465208,0.00660775557448323,0.0131742363687633,0.139023868660605
0,0.00210717086827441,0.0006136168509976,0,0.131065311496814,0.00348619990838875,0.322105448606304,0.201446520606772,1.30110492516012,0.0434080237148948,7.768669148919e-10,0.00814989495347009,0,1.70860962760194,0.0871987592899593,0.00210884058829257,0.00246626710457144,8.54410558230757e-05,5.98888939224338e-05,0,0.276933895015393,0,0.0127450999870527,0,0,1.07936325695911e-18,0,0,1.7958083868919,1.50255144576689,0.00559504049668133,0.00307988395556904,0.131065311496814
4.26848012716778e-06,0.0267743652041251,0.000538772633123715,0,0.116031063574469,0.0021125913849111,0.200213392680719,0.232101912251935,1.15156996367051,0.0305300671217711,1.02751810459909e-08,0.0175618915916416,0.0605822061998973,1.41113892419227,0.166430640104166,0.00110606569226544,0.000286952386940608,0,6.05775497192141e-05,0,0.243037550325137,0.00469993441907926,0,0.00180750718019611,0.00278411423011818,1.4332644765181e-17,1.37465710450262e-17,6.61771982494219e-18,1.57756956429644,1.38367187592244,0.00321865707717654,0.000825725020064322,0.116031063574469
1.37251092446474e-05,0.0127221356450897,0.000586766801565933,0,0.160830379395097,0.000811446088160402,0.293831744440616,0.284858725973687,1.3978834220219,0,9.75472615477433e-13,0.0111472072267366,0.00412297266583869,1.4595996313354,0.141829025177789,0,0.00299497465951732,0,0.000105018487325925,9.21928012340178e-07,0.246860575425491,0,0,0.00253015822258878,9.49583719655758e-05,7.3481470538401e-18,1.07126835130084e-18,0,1.60142865651319,1.68274214799559,0.000811446088160402,0.00358174146108325,0.160830379395097
0,0,0.00759262099193356,7.95019144900998e-05,0.151562758329457,0.00565352297164876,0.368935468573035,0.391731687301772,1.31840566035588,0.0517749181795957,0.00184580498806545,0.00922346997706532,0,1.78678388777459,0.133719040991864,0,0.000357592836927141,8.20292616646324e-06,0.000169619713941858,1.86672493552035e-08,0.281762751294198,0,0,0,0,0,2.01981597560846e-18,3.17187181780773e-18,1.92050292876645,1.71013734765765,0.00565352297164876,0.0079502138288607,0.151562758329457
0.00128053680268199,0.0260892229041634,0.000620269450477381,2.49676502922839e-05,0.205953672297426,0.000984576512821749,0.310940040373443,0.469764141793593,1.73574977429798,0,2.21024749694241e-07,0.0111049458108609,0.00600911396854967,1.70232609771202,0.146069790873269,1.71771320077764e-05,0.000743757617392718,0.0031527114204287,0.00038561427447793,0.00822282624657195,0.319208115024879,0,0.0109445596459854,0,0,9.45591286285654e-18,2.16699521882135e-18,0,1.84839588858529,2.20551391609157,0.00100175364482953,0.0013640270678701,0.205953672297426
0.000575169028425084,0.00704321767018877,0.00492147014677808,0.00135734799020215,0.141834036011625,0.00315669396903193,0.271526519535745,0.364516234216857,1.38718335154097,0.0600677129367783,8.82374813079868e-09,0.00747537817536092,0.0174974892425139,1.48264228607153,0.119752961927898,0,0.000116278554784154,0.00103575202480245,1.85420290109925e-05,0.00220188139897659,0.236831212912532,0.0023876760728517,0,0,0,5.84063828159345e-18,8.06686663425094e-18,0,1.60239524799943,1.75169958575783,0.00315669396903193,0.00503774870156224,0.141834036011625
0.00167126365659605,0.0227014576696516,0.00108307526168747,0.00428831838389935,0.192778711402131,0.00485583487995608,0.217864713333208,0.295853118930651,1.89776490936213,0.0189549035594993,6.68500717331663e-08,0.00792574024625506,0.0685974011600734,1.73650700204684,0.200197487462522,0.00309457134771336,0.00928287456013022,0.00209186381005292,0.00781315310223581,0.0032398863943855,0.278611065608451,0,0,0,0,1.51639638624516e-17,6.18143482936036e-18,1.25470823368102e-17,1.93670448950936,2.19361802829278,0.00795040622766944,0.0103659498218177,0.192778711402131
0.00257063225779258,0.0085156790316285,0.000778566372760545,0,0.167615136475778,0.00108225658280971,0.276676636313793,0.363149394735877,1.70390137490243,0.00082556273354966,7.34288502534824e-08,0.00164690365977716,0.0249513930591664,1.50070152839225,0.183335850823848,0.000313404443213123,0.000751814769685217,0.00205261275014729,0.000120832590289045,0.00532628958184781,0.269502351432253,0,0.0006530119787339,0,0.00213889595940243,6.0994173422681e-18,0,2.93477145511007e-18,1.68403737921609,2.06705076963831,0.00139566102602283,0.00153038114244576,0.167615136475778
0.000459892875390108,0.00866900272261552,0.000549277586421689,0.00365983252676338,0.165265647246393,0.00346821690481366,0.267535596867541,0.397268933596829,1.43722499358098,0.0298770689842808,8.63784496887536e-08,0.00606635789344151,0.0252690148641469,1.48246814925935,0.145654358322849,0.00150262926095163,0.00661813242453361,0.0108423036829356,0.00024968550685476,0.00253390838638244,0.27777239028779,0,0,0,0,5.82075725332409e-19,0,0,1.6281225075822,1.83449392717781,0.00497084616576529,0.0071674100109553,0.165265647246393
